,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[7, 8]",-6.282,7.098,-19.054,6.374,2.549,1.875,7.0,14.0,1.54
"beta[7, 9]",3.744,8.713,-12.247,18.345,3.76,2.819,6.0,26.0,1.93
"beta[8, 0]",-6.888,3.835,-14.464,-0.094,1.449,1.134,7.0,18.0,1.59
"beta[8, 1]",4.147,10.723,-11.147,23.894,4.961,3.753,5.0,38.0,2.13
"beta[8, 2]",-5.305,9.582,-20.849,11.476,4.257,3.203,6.0,28.0,1.95
"beta[8, 3]",5.743,4.72,-4.225,12.54,1.956,1.459,6.0,12.0,1.85
"beta[8, 4]",-3.389,5.145,-11.477,6.792,2.328,1.756,5.0,13.0,2.29
"beta[8, 5]",1.292,6.321,-11.082,11.215,2.823,2.125,5.0,16.0,2.17
"beta[8, 6]",-5.15,8.015,-17.647,9.096,3.336,2.489,6.0,27.0,1.82
"beta[8, 7]",-4.792,11.804,-26.781,11.821,5.521,4.185,6.0,36.0,1.94
"beta[8, 8]",0.046,8.371,-12.821,13.755,3.547,2.653,6.0,18.0,1.85
"beta[8, 9]",3.944,8.744,-11.993,17.874,3.74,2.8,6.0,31.0,1.91
"beta[9, 0]",-7.737,5.864,-18.647,2.985,0.799,0.568,57.0,167.0,1.08
"beta[9, 1]",4.977,10.611,-10.073,24.161,4.885,3.694,5.0,47.0,2.16
"beta[9, 2]",0.469,10.141,-17.323,17.583,3.16,2.301,12.0,193.0,1.28
"beta[9, 3]",4.724,7.525,-9.563,17.864,1.661,1.191,19.0,236.0,1.17
"beta[9, 4]",-1.949,6.131,-14.115,10.174,1.928,1.405,10.0,35.0,1.35
"beta[9, 5]",-0.66,6.751,-11.381,11.801,2.061,1.499,12.0,103.0,1.31
"beta[9, 6]",1.607,9.769,-17.058,19.028,1.442,1.026,42.0,135.0,1.08
"beta[9, 7]",-3.541,12.142,-25.813,15.293,5.289,3.969,7.0,37.0,1.7
"beta[9, 8]",-6.419,8.27,-19.586,9.536,2.497,1.814,11.0,58.0,1.29
"beta[9, 9]",3.796,8.932,-11.13,19.483,3.522,2.613,7.0,26.0,1.61
alpha[0],8.373,3.436,3.177,14.525,1.456,1.089,6.0,18.0,1.92
alpha[1],3.599,2.829,0.02,9.238,0.305,0.223,70.0,87.0,1.06
alpha[2],5.715,4.17,0.166,12.575,1.795,1.345,6.0,17.0,1.86
alpha[3],9.818,5.194,0.43,19.209,2.286,1.717,5.0,30.0,2.1
alpha[4],12.323,3.361,6.658,18.021,1.328,1.035,6.0,12.0,1.73
alpha[5],7.319,3.4,0.959,12.321,1.441,1.078,5.0,12.0,2.02
alpha[6],8.7,4.363,1.307,15.833,1.658,1.225,7.0,18.0,1.61
alpha[7],5.785,3.904,0.022,12.668,1.106,0.801,13.0,55.0,1.23
alpha[8],4.88,3.745,0.02,12.031,1.335,0.981,9.0,24.0,1.42
alpha[9],3.166,2.835,0.002,8.321,0.375,0.267,60.0,107.0,1.07
beta_sd[0],4.662,1.857,0.807,7.595,0.519,0.376,13.0,13.0,1.22
beta_sd[1],3.243,1.481,0.85,5.886,0.278,0.199,32.0,85.0,1.13
beta_sd[2],6.172,1.984,2.406,9.667,0.657,0.48,9.0,37.0,1.36
beta_sd[3],5.755,1.966,2.111,9.587,0.665,0.487,8.0,14.0,1.44
beta_sd[4],4.037,1.548,1.619,6.742,0.494,0.36,10.0,169.0,1.3
beta_sd[5],4.672,2.271,0.614,8.784,0.962,0.719,6.0,15.0,1.97
beta_sd[6],8.137,1.958,4.747,11.632,0.519,0.376,14.0,49.0,1.2
beta_sd[7],5.084,1.585,2.206,7.916,0.201,0.143,58.0,290.0,1.04
beta_sd[8],4.689,2.178,1.077,8.117,0.666,0.485,10.0,14.0,1.31
beta_sd[9],3.635,1.67,0.866,6.698,0.184,0.13,74.0,78.0,1.05
"p[0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,1.3
"p[0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,1.5
"p[0, 2]",0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,1.38
"p[0, 3]",0.0,0.0,0.0,0.0,0.0,0.0,18.0,34.0,1.2
"p[0, 4]",0.0,0.007,0.0,0.0,0.0,0.0,14.0,21.0,1.24
"p[0, 5]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,1.44
"p[0, 6]",0.999,0.009,1.0,1.0,0.0,0.0,19.0,218.0,1.16
"p[0, 7]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,57.0,1.18
"p[0, 8]",0.0,0.002,0.0,0.0,0.0,0.0,11.0,20.0,1.3
"p[0, 9]",0.0,0.005,0.0,0.0,0.0,0.0,11.0,17.0,1.32
"p[1, 0]",0.004,0.015,0.0,0.017,0.001,0.001,12.0,21.0,1.25
"p[1, 1]",0.002,0.011,0.0,0.002,0.0,0.0,35.0,237.0,1.12
"p[1, 2]",0.003,0.031,0.0,0.001,0.003,0.002,11.0,38.0,1.3
"p[1, 3]",0.086,0.166,0.0,0.43,0.016,0.012,55.0,110.0,1.06
"p[1, 4]",0.878,0.185,0.492,1.0,0.016,0.012,96.0,195.0,1.03
"p[1, 5]",0.006,0.034,0.0,0.014,0.004,0.003,6.0,28.0,2.0
"p[1, 6]",0.011,0.044,0.0,0.045,0.003,0.002,30.0,32.0,1.11
