,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],-2.472,2.053,-6.567,0.591,0.823,0.612,7.0,19.0,1.63
beta_mu[1],0.528,1.948,-3.012,3.926,0.783,0.582,6.0,28.0,1.73
beta_mu[2],2.299,1.408,-0.201,4.688,0.618,0.464,5.0,33.0,2.08
beta_mu[3],0.644,2.228,-3.154,5.403,0.631,0.457,13.0,24.0,1.25
beta_mu[4],-0.749,3.169,-6.816,4.25,1.343,1.005,6.0,37.0,1.7
beta_mu[5],-2.143,2.425,-7.022,1.817,0.759,0.602,12.0,17.0,1.27
beta_mu[6],-0.203,1.812,-3.898,2.773,0.749,0.559,6.0,14.0,1.77
beta_mu[7],1.224,1.639,-2.362,3.733,0.686,0.512,7.0,15.0,1.59
beta_mu[8],-0.25,2.17,-4.609,3.546,0.738,0.54,10.0,18.0,1.31
beta_mu[9],-2.111,2.066,-6.119,1.489,0.537,0.387,15.0,86.0,1.19
beta_mu[10],0.552,2.551,-4.285,5.229,0.78,0.568,11.0,47.0,1.29
beta_mu[11],0.036,2.582,-4.57,4.463,0.807,0.588,11.0,79.0,1.32
beta_mu[12],0.055,1.887,-3.633,3.443,0.496,0.358,14.0,35.0,1.19
beta_mu[13],-0.859,2.596,-6.356,2.943,0.814,0.593,10.0,22.0,1.37
beta_mu[14],-1.704,2.076,-5.382,2.198,0.32,0.228,43.0,93.0,1.08
beta_mu[15],-2.205,2.488,-6.999,2.001,0.791,0.576,10.0,45.0,1.33
"beta[0, 0]",-4.014,2.213,-7.933,-0.27,0.892,0.664,6.0,16.0,1.69
"beta[0, 1]",1.154,2.887,-4.115,6.299,1.134,0.841,6.0,13.0,1.68
"beta[0, 2]",2.355,1.786,-0.937,5.933,0.682,0.505,7.0,37.0,1.63
"beta[0, 3]",2.044,3.614,-4.525,8.082,1.124,0.818,10.0,24.0,1.32
"beta[0, 4]",-0.846,4.876,-9.996,7.559,2.052,1.534,6.0,45.0,1.77
"beta[0, 5]",-4.289,4.259,-12.976,2.968,1.18,0.854,14.0,38.0,1.22
"beta[0, 6]",-0.743,2.536,-6.169,4.165,0.98,0.726,7.0,11.0,1.57
"beta[0, 7]",1.713,2.356,-3.498,5.817,0.92,0.681,7.0,14.0,1.54
"beta[0, 8]",0.735,2.96,-5.153,5.744,0.889,0.646,12.0,20.0,1.26
"beta[0, 9]",0.609,2.445,-3.612,5.635,0.406,0.29,36.0,88.0,1.08
"beta[0, 10]",0.697,3.958,-7.284,7.972,1.013,0.731,16.0,48.0,1.2
"beta[0, 11]",0.141,4.063,-7.811,7.099,0.916,0.658,20.0,354.0,1.16
