,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[0, 12]",-0.516,3.41,-7.422,5.206,0.75,0.538,21.0,176.0,1.15
"beta[0, 13]",-0.708,3.224,-6.771,4.574,0.866,0.626,14.0,210.0,1.23
"beta[0, 14]",-1.813,2.84,-6.722,3.668,0.336,0.239,71.0,192.0,1.05
"beta[0, 15]",-2.198,3.181,-8.19,3.624,0.807,0.581,15.0,173.0,1.19
"beta[1, 0]",-3.077,2.167,-7.265,0.491,0.832,0.615,7.0,21.0,1.59
"beta[1, 1]",3.257,2.645,-1.005,9.084,1.045,0.775,6.0,16.0,1.72
"beta[1, 2]",2.462,1.698,-0.673,5.636,0.646,0.478,7.0,31.0,1.62
"beta[1, 3]",-5.164,4.336,-13.942,2.03,0.686,0.489,38.0,53.0,1.1
"beta[1, 4]",0.229,4.048,-6.879,6.823,1.714,1.282,6.0,31.0,1.82
"beta[1, 5]",-4.733,4.423,-13.103,2.863,0.826,0.59,30.0,276.0,1.1
"beta[1, 6]",0.08,2.066,-4.036,3.991,0.74,0.544,8.0,12.0,1.43
"beta[1, 7]",0.944,2.159,-3.095,4.816,0.779,0.573,8.0,14.0,1.42
"beta[1, 8]",-2.929,3.531,-9.808,3.058,0.621,0.443,33.0,224.0,1.09
"beta[1, 9]",-2.785,3.519,-9.521,3.216,0.507,0.36,50.0,215.0,1.06
"beta[1, 10]",-1.132,4.196,-9.524,5.844,0.891,0.639,21.0,193.0,1.15
"beta[1, 11]",-1.396,4.069,-9.182,5.484,0.877,0.629,22.0,198.0,1.14
"beta[1, 12]",1.546,2.401,-4.095,5.527,0.735,0.535,11.0,32.0,1.29
"beta[1, 13]",-0.856,3.203,-6.7,4.631,0.802,0.577,16.0,122.0,1.23
"beta[1, 14]",-1.924,2.96,-7.715,3.869,0.339,0.241,71.0,145.0,1.05
"beta[1, 15]",-2.213,3.507,-8.608,4.467,0.754,0.54,19.0,143.0,1.17
"beta[2, 0]",-4.837,2.132,-9.072,-1.319,0.711,0.528,10.0,17.0,1.32
"beta[2, 1]",1.06,2.377,-3.013,5.281,0.909,0.673,7.0,21.0,1.59
"beta[2, 2]",3.495,1.951,0.203,7.409,0.822,0.614,6.0,44.0,1.67
"beta[2, 3]",2.345,3.074,-3.772,7.542,0.998,0.728,10.0,15.0,1.36
"beta[2, 4]",-7.754,5.4,-17.908,1.3,1.702,1.24,10.0,53.0,1.34
"beta[2, 5]",0.325,2.466,-4.148,5.147,0.682,0.493,13.0,47.0,1.24
"beta[2, 6]",-0.899,2.374,-5.796,3.504,0.928,0.688,7.0,13.0,1.63
"beta[2, 7]",-1.312,2.831,-7.514,2.666,0.935,0.683,10.0,39.0,1.32
"beta[2, 8]",0.273,2.5,-4.892,4.315,0.833,0.609,9.0,36.0,1.36
"beta[2, 9]",-3.093,3.329,-9.293,2.3,0.563,0.401,34.0,98.0,1.09
"beta[2, 10]",2.509,3.012,-3.06,8.52,0.848,0.614,13.0,34.0,1.24
"beta[2, 11]",-0.576,3.609,-7.234,5.967,0.876,0.63,17.0,101.0,1.18
"beta[2, 12]",-0.541,3.059,-6.119,5.475,0.485,0.345,37.0,376.0,1.08
"beta[2, 13]",-1.06,3.116,-7.434,3.62,0.821,0.593,14.0,164.0,1.24
"beta[2, 14]",-2.036,2.832,-6.86,4.219,0.331,0.235,71.0,152.0,1.06
"beta[2, 15]",-2.572,3.432,-8.954,4.241,0.875,0.631,15.0,35.0,1.2
"beta[3, 0]",-5.152,3.675,-12.073,1.179,1.33,0.979,8.0,17.0,1.46
"beta[3, 1]",-0.609,3.037,-6.728,4.803,0.971,0.708,9.0,24.0,1.35
"beta[3, 2]",1.817,1.807,-1.612,5.135,0.626,0.459,8.0,39.0,1.44
"beta[3, 3]",9.042,4.28,0.039,16.518,1.597,1.179,7.0,23.0,1.52
"beta[3, 4]",-4.367,5.264,-13.81,4.939,1.791,1.312,9.0,132.0,1.38
"beta[3, 5]",-1.133,3.866,-8.358,6.308,0.583,0.415,43.0,154.0,1.08
"beta[3, 6]",1.118,2.303,-3.187,5.422,0.829,0.61,8.0,20.0,1.46
"beta[3, 7]",3.505,2.464,-0.984,7.811,0.925,0.683,7.0,25.0,1.52
"beta[3, 8]",-0.944,3.744,-8.244,5.757,0.739,0.529,27.0,142.0,1.11
"beta[3, 9]",-2.468,3.666,-9.706,4.066,0.582,0.415,46.0,154.0,1.06
"beta[3, 10]",-0.593,4.7,-10.334,7.201,0.948,0.679,26.0,83.0,1.13
"beta[3, 11]",0.227,4.306,-7.181,9.051,0.844,0.604,26.0,296.0,1.12
"beta[3, 12]",0.094,3.459,-6.612,6.313,0.513,0.365,45.0,265.0,1.07
"beta[3, 13]",-0.722,3.307,-7.178,4.491,0.864,0.623,15.0,137.0,1.23
"beta[3, 14]",-1.554,3.175,-7.314,4.22,0.376,0.267,69.0,201.0,1.06
"beta[3, 15]",-1.918,3.55,-8.689,4.606,0.816,0.586,18.0,210.0,1.17
"beta[4, 0]",-1.075,1.815,-4.732,1.947,0.649,0.477,8.0,47.0,1.45
"beta[4, 1]",-0.476,2.956,-5.595,5.119,0.742,0.534,15.0,58.0,1.19
"beta[4, 2]",1.401,1.925,-2.656,4.507,0.67,0.492,8.0,39.0,1.46
"beta[4, 3]",1.007,3.749,-6.462,7.889,0.643,0.494,34.0,34.0,1.09
"beta[4, 4]",4.566,3.199,-0.942,9.554,1.432,1.078,5.0,20.0,2.07
"beta[4, 5]",-2.406,4.15,-10.443,4.583,0.388,0.275,111.0,232.0,1.03
"beta[4, 6]",2.656,2.073,-1.327,6.239,0.761,0.561,7.0,16.0,1.52
"beta[4, 7]",0.233,2.635,-5.361,4.564,0.74,0.536,13.0,63.0,1.23
"beta[4, 8]",-1.365,3.623,-8.853,4.669,0.743,0.532,26.0,68.0,1.11
"beta[4, 9]",-2.471,3.797,-9.73,4.079,0.568,0.404,44.0,301.0,1.08
"beta[4, 10]",0.529,3.519,-6.524,6.366,1.283,0.945,8.0,51.0,1.45
"beta[4, 11]",-0.119,3.99,-7.728,7.511,0.458,0.325,59.0,211.0,1.07
"beta[4, 12]",-0.235,3.305,-6.602,5.873,0.526,0.375,40.0,327.0,1.08
"beta[4, 13]",-0.721,3.114,-6.617,4.472,0.818,0.59,15.0,61.0,1.23
"beta[4, 14]",-1.584,3.026,-7.134,4.365,0.347,0.246,74.0,169.0,1.05
"beta[4, 15]",-2.287,3.62,-8.455,4.509,0.878,0.632,17.0,39.0,1.19
"beta[5, 0]",-2.812,1.85,-6.585,0.053,0.726,0.543,7.0,17.0,1.52
"beta[5, 1]",-0.211,2.427,-5.578,3.835,0.803,0.587,9.0,42.0,1.37
"beta[5, 2]",2.627,1.702,-0.301,6.042,0.713,0.533,6.0,30.0,1.81
"beta[5, 3]",2.666,2.891,-2.608,8.002,0.955,0.698,9.0,23.0,1.37
"beta[5, 4]",-2.361,4.69,-10.755,6.125,1.584,1.16,9.0,47.0,1.36
"beta[5, 5]",3.725,2.171,0.134,8.118,0.718,0.524,9.0,19.0,1.36
"beta[5, 6]",-1.584,2.666,-6.412,3.367,0.873,0.637,9.0,55.0,1.37
"beta[5, 7]",1.862,1.861,-1.768,5.153,0.749,0.557,7.0,14.0,1.56
"beta[5, 8]",-0.63,3.111,-6.438,5.147,0.648,0.464,24.0,102.0,1.12
"beta[5, 9]",-2.558,3.474,-8.711,3.655,0.506,0.36,48.0,362.0,1.07
"beta[5, 10]",0.328,3.483,-6.824,6.552,0.768,0.551,19.0,86.0,1.15
"beta[5, 11]",-0.691,3.711,-7.409,6.359,0.886,0.637,18.0,246.0,1.17
"beta[5, 12]",-0.507,3.421,-7.278,5.26,0.536,0.381,33.0,78.0,1.09
"beta[5, 13]",-0.894,3.244,-7.362,4.209,0.824,0.594,15.0,166.0,1.22
"beta[5, 14]",-1.831,2.812,-7.053,3.395,0.281,0.199,97.0,148.0,1.04
"beta[5, 15]",-2.191,3.349,-8.447,4.374,0.696,0.499,22.0,204.0,1.15
"beta[6, 0]",-4.03,2.119,-7.827,-0.212,0.812,0.601,8.0,23.0,1.47
"beta[6, 1]",-0.662,2.675,-6.153,3.675,0.863,0.63,9.0,35.0,1.36
"beta[6, 2]",2.784,1.904,-0.571,6.583,0.804,0.601,6.0,28.0,1.81
"beta[6, 3]",-3.586,4.318,-11.446,4.53,0.713,0.515,39.0,73.0,1.1
"beta[6, 4]",3.438,3.9,-3.256,9.343,1.76,1.327,5.0,15.0,2.11
"beta[6, 5]",-3.472,4.684,-11.62,4.326,1.191,0.858,19.0,39.0,1.16
"beta[6, 6]",2.252,2.244,-1.657,7.473,0.896,0.666,6.0,11.0,1.69
"beta[6, 7]",2.273,2.182,-2.781,5.58,0.876,0.651,7.0,12.0,1.54
"beta[6, 8]",-1.575,3.609,-8.951,4.56,0.809,0.581,22.0,208.0,1.13
"beta[6, 9]",-2.879,3.43,-9.234,3.691,0.701,0.502,25.0,142.0,1.12
"beta[6, 10]",-0.212,3.995,-8.196,6.94,0.897,0.644,20.0,79.0,1.16
"beta[6, 11]",-0.18,4.305,-7.818,7.714,0.848,0.607,25.0,199.0,1.13
"beta[6, 12]",-0.208,3.231,-6.321,5.862,0.657,0.47,24.0,125.0,1.12
"beta[6, 13]",-0.808,3.277,-7.202,4.178,0.854,0.616,15.0,114.0,1.23
"beta[6, 14]",-1.683,2.776,-6.351,3.792,0.308,0.219,81.0,187.0,1.04
"beta[6, 15]",-2.152,3.458,-8.791,4.658,0.88,0.635,15.0,63.0,1.2
"beta[7, 0]",0.99,1.637,-2.102,3.483,0.696,0.521,6.0,29.0,1.8
"beta[7, 1]",1.709,2.068,-1.847,5.574,0.834,0.62,6.0,29.0,1.71
"beta[7, 2]",1.494,1.722,-1.68,4.103,0.636,0.469,7.0,36.0,1.54
"beta[7, 3]",3.039,2.097,-1.093,6.536,0.774,0.571,7.0,13.0,1.52
"beta[7, 4]",-2.545,4.597,-10.947,5.156,1.359,0.986,11.0,196.0,1.28
"beta[7, 5]",-3.706,4.759,-12.021,3.36,0.884,0.632,33.0,60.0,1.09
"beta[7, 6]",-1.982,2.411,-6.512,2.407,0.708,0.514,11.0,116.0,1.27
"beta[7, 7]",3.236,1.689,-0.167,5.83,0.722,0.54,6.0,30.0,1.84
"beta[7, 8]",-0.57,3.236,-6.472,4.956,0.738,0.53,19.0,92.0,1.15
"beta[7, 9]",-2.473,3.317,-8.757,3.55,0.546,0.389,37.0,272.0,1.08
"beta[7, 10]",-0.513,4.057,-8.154,6.308,0.902,0.647,19.0,102.0,1.15
"beta[7, 11]",-0.556,3.839,-7.663,5.937,0.768,0.549,23.0,101.0,1.14
"beta[7, 12]",-0.596,3.243,-6.414,5.238,0.47,0.334,41.0,469.0,1.08
"beta[7, 13]",-0.74,3.074,-6.857,4.081,0.793,0.572,15.0,148.0,1.21
"beta[7, 14]",-1.644,2.784,-6.759,3.451,0.324,0.23,73.0,141.0,1.06
"beta[7, 15]",-2.321,3.335,-8.371,4.028,0.683,0.489,24.0,197.0,1.14
"beta[8, 0]",-4.637,2.649,-9.217,0.072,0.876,0.64,10.0,22.0,1.33
"beta[8, 1]",-0.561,2.735,-5.531,4.553,0.857,0.624,10.0,61.0,1.32
"beta[8, 2]",2.869,1.824,-0.558,6.185,0.727,0.54,6.0,30.0,1.73
"beta[8, 3]",-0.163,3.978,-7.867,7.192,0.747,0.534,28.0,167.0,1.11
"beta[8, 4]",2.703,3.734,-3.827,9.151,1.544,1.151,6.0,45.0,1.74
"beta[8, 5]",-2.743,3.913,-10.517,3.893,0.732,0.523,32.0,99.0,1.1
"beta[8, 6]",-0.87,2.535,-5.674,3.537,0.853,0.625,9.0,39.0,1.4
"beta[8, 7]",0.275,2.53,-4.502,4.593,0.776,0.564,11.0,47.0,1.28
"beta[8, 8]",5.86,2.847,0.275,10.859,0.913,0.666,10.0,22.0,1.35
"beta[8, 9]",-2.396,3.5,-9.113,3.932,0.506,0.36,50.0,269.0,1.07
"beta[8, 10]",-0.228,4.206,-8.963,6.657,0.862,0.617,22.0,89.0,1.12
"beta[8, 11]",-0.044,3.988,-7.542,6.796,0.83,0.594,23.0,370.0,1.13
"beta[8, 12]",-0.238,3.506,-6.331,6.046,0.363,0.282,76.0,302.0,1.07
"beta[8, 13]",-0.6,3.401,-6.88,5.055,0.721,0.517,22.0,200.0,1.17
"beta[8, 14]",-1.476,3.097,-7.354,4.503,0.417,0.296,55.0,147.0,1.05
"beta[8, 15]",-1.979,3.365,-7.85,5.153,0.782,0.562,18.0,191.0,1.17
"beta[9, 0]",-0.566,1.642,-3.795,2.114,0.625,0.462,8.0,29.0,1.47
"beta[9, 1]",0.302,2.04,-3.483,3.737,0.681,0.498,9.0,83.0,1.38
"beta[9, 2]",2.465,1.429,-0.39,4.849,0.597,0.446,6.0,26.0,1.82
"beta[9, 3]",-1.307,3.157,-6.989,4.34,0.328,0.233,82.0,299.0,1.06
"beta[9, 4]",-4.682,4.635,-13.218,3.103,1.48,1.079,10.0,140.0,1.32
"beta[9, 5]",-2.992,4.115,-10.432,4.181,0.326,0.231,170.0,223.0,1.02
"beta[9, 6]",0.166,1.944,-3.672,3.507,0.57,0.413,12.0,34.0,1.26
"beta[9, 7]",1.098,1.75,-2.281,4.262,0.656,0.485,8.0,18.0,1.47
"beta[9, 8]",1.488,1.831,-2.133,4.732,0.623,0.456,9.0,63.0,1.36
"beta[9, 9]",1.195,1.758,-2.11,4.463,0.453,0.327,15.0,93.0,1.2
"beta[9, 10]",-1.618,4.135,-10.136,4.294,0.922,0.661,19.0,98.0,1.16
"beta[9, 11]",-1.016,3.445,-7.408,4.532,0.798,0.574,18.0,214.0,1.17
"beta[9, 12]",-0.685,3.049,-6.613,4.192,0.384,0.273,58.0,310.0,1.06
"beta[9, 13]",-1.104,3.166,-6.498,4.258,0.859,0.621,13.0,172.0,1.25
"beta[9, 14]",-1.845,2.81,-7.169,3.473,0.306,0.217,84.0,214.0,1.04
"beta[9, 15]",-2.36,3.336,-8.19,3.804,0.708,0.508,21.0,94.0,1.16
"beta[10, 0]",-3.615,4.116,-10.817,4.165,0.92,0.66,21.0,83.0,1.13
"beta[10, 1]",-0.08,2.977,-5.452,5.875,0.7,0.503,17.0,117.0,1.17
"beta[10, 2]",1.964,1.935,-1.813,5.483,0.679,0.499,8.0,34.0,1.49
"beta[10, 3]",0.2,4.894,-9.361,9.488,0.639,0.509,61.0,41.0,1.06
"beta[10, 4]",-2.145,4.775,-11.178,5.731,1.259,0.909,13.0,159.0,1.23
"beta[10, 5]",-2.609,4.994,-12.308,6.634,0.476,0.571,190.0,103.0,1.05
"beta[10, 6]",0.344,3.052,-5.594,5.577,0.803,0.58,14.0,60.0,1.2
"beta[10, 7]",1.04,2.697,-4.723,5.661,0.7,0.505,15.0,55.0,1.2
"beta[10, 8]",-0.564,3.984,-7.945,6.851,0.616,0.439,43.0,345.0,1.08
"beta[10, 9]",-2.404,3.931,-10.635,4.052,0.432,0.307,97.0,476.0,1.05
"beta[10, 10]",5.781,3.268,-0.154,11.82,1.085,0.794,9.0,29.0,1.41
"beta[10, 11]",0.113,4.177,-7.912,7.733,0.803,0.574,27.0,296.0,1.12
"beta[10, 12]",-0.064,3.546,-6.958,5.985,0.554,0.395,41.0,395.0,1.07
"beta[10, 13]",-0.937,3.394,-7.342,4.453,0.823,0.592,17.0,189.0,1.19
"beta[10, 14]",-1.772,3.075,-8.058,3.573,0.307,0.218,97.0,221.0,1.04
"beta[10, 15]",-2.254,3.51,-8.571,4.364,0.794,0.57,19.0,53.0,1.16
"beta[11, 0]",1.704,1.854,-1.912,5.11,0.608,0.444,9.0,47.0,1.34
"beta[11, 1]",-0.142,1.998,-4.518,3.04,0.617,0.449,11.0,46.0,1.3
"beta[11, 2]",1.986,1.64,-1.07,4.963,0.547,0.4,9.0,47.0,1.38
"beta[11, 3]",-0.774,3.678,-7.624,5.822,0.261,0.185,139.0,297.0,1.04
"beta[11, 4]",-3.343,5.172,-12.624,5.72,1.431,1.035,13.0,168.0,1.26
"beta[11, 5]",-5.388,3.657,-12.388,1.13,0.685,0.49,28.0,216.0,1.1
"beta[11, 6]",-0.395,2.578,-5.503,3.996,0.663,0.478,15.0,139.0,1.2
"beta[11, 7]",1.137,2.281,-3.078,5.412,0.601,0.434,15.0,37.0,1.19
"beta[11, 8]",1.213,2.932,-4.139,6.689,0.644,0.462,21.0,205.0,1.15
"beta[11, 9]",-2.485,3.722,-10.22,3.454,0.438,0.311,81.0,177.0,1.05
"beta[11, 10]",-0.179,3.981,-7.211,6.844,0.705,0.503,29.0,147.0,1.11
"beta[11, 11]",6.089,2.437,1.401,10.509,0.759,0.553,10.0,30.0,1.34
"beta[11, 12]",-0.744,3.666,-8.026,5.347,0.425,0.302,75.0,290.0,1.05
"beta[11, 13]",-0.939,3.348,-7.188,4.422,0.81,0.583,17.0,227.0,1.2
"beta[11, 14]",-1.604,2.919,-7.801,3.579,0.303,0.215,91.0,322.0,1.05
"beta[11, 15]",-2.191,3.515,-9.284,4.029,0.851,0.612,17.0,100.0,1.18
"beta[12, 0]",-2.565,2.215,-6.832,1.364,0.683,0.497,11.0,45.0,1.27
"beta[12, 1]",0.505,1.513,-2.405,3.184,0.605,0.449,7.0,27.0,1.66
"beta[12, 2]",1.851,1.322,-0.602,4.057,0.518,0.384,7.0,18.0,1.56
"beta[12, 3]",3.986,2.097,-0.181,7.634,0.749,0.551,8.0,34.0,1.45
"beta[12, 4]",0.509,2.543,-4.45,5.014,0.784,0.571,11.0,248.0,1.31
"beta[12, 5]",-2.231,3.954,-9.853,4.74,0.337,0.324,147.0,382.0,1.04
"beta[12, 6]",-0.222,1.773,-3.667,2.703,0.575,0.419,10.0,39.0,1.33
"beta[12, 7]",1.094,1.73,-1.97,4.098,0.593,0.434,9.0,21.0,1.35
"beta[12, 8]",-1.964,3.545,-8.581,3.57,0.635,0.453,29.0,197.0,1.1
"beta[12, 9]",-2.698,3.306,-8.92,3.194,0.538,0.384,40.0,187.0,1.08
"beta[12, 10]",-0.239,3.679,-7.925,5.721,0.734,0.525,25.0,245.0,1.12
"beta[12, 11]",-0.561,3.868,-7.727,6.04,0.819,0.587,22.0,461.0,1.14
"beta[12, 12]",3.194,1.638,0.22,5.953,0.529,0.386,11.0,125.0,1.33
"beta[12, 13]",-1.117,3.204,-6.927,4.183,0.809,0.583,15.0,180.0,1.22
"beta[12, 14]",-1.712,2.824,-6.848,3.704,0.345,0.245,67.0,183.0,1.06
"beta[12, 15]",-2.104,3.103,-8.001,3.595,0.745,0.536,18.0,121.0,1.16
"beta[13, 0]",-3.691,3.979,-10.269,3.082,1.117,0.809,13.0,39.0,1.24
"beta[13, 1]",0.15,2.892,-5.714,5.25,0.664,0.477,17.0,165.0,1.19
"beta[13, 2]",2.491,1.607,-0.642,5.16,0.585,0.431,7.0,29.0,1.57
"beta[13, 3]",-1.05,4.522,-9.179,7.39,0.334,0.236,189.0,327.0,1.04
"beta[13, 4]",2.155,1.931,-1.455,6.047,0.572,0.415,11.0,19.0,1.28
"beta[13, 5]",-1.897,4.553,-10.537,6.488,0.271,0.341,284.0,536.0,1.04
"beta[13, 6]",1.049,2.317,-4.09,4.732,0.605,0.437,16.0,28.0,1.19
"beta[13, 7]",0.884,2.655,-3.978,5.813,0.528,0.378,24.0,92.0,1.13
"beta[13, 8]",-1.343,3.78,-8.677,5.55,0.59,0.42,42.0,235.0,1.07
"beta[13, 9]",-1.96,4.029,-10.383,4.642,0.366,0.259,131.0,291.0,1.04
"beta[13, 10]",-0.082,3.422,-6.889,5.998,1.071,0.78,12.0,17.0,1.28
"beta[13, 11]",-0.318,4.433,-8.721,7.969,0.862,0.616,25.0,234.0,1.12
"beta[13, 12]",-0.315,3.381,-6.921,5.726,0.334,0.237,79.0,386.0,1.06
"beta[13, 13]",-0.802,3.27,-6.919,4.578,0.799,0.575,17.0,182.0,1.19
"beta[13, 14]",-1.512,3.088,-6.878,4.824,0.378,0.268,73.0,145.0,1.06
"beta[13, 15]",-2.082,3.287,-8.634,3.913,0.603,0.43,28.0,238.0,1.11
"beta[14, 0]",1.346,1.864,-2.496,4.428,0.718,0.531,7.0,30.0,1.52
"beta[14, 1]",-0.333,2.91,-6.056,4.522,0.828,0.6,11.0,72.0,1.27
"beta[14, 2]",2.641,1.627,-0.341,5.827,0.71,0.533,5.0,33.0,2.11
"beta[14, 3]",-1.168,4.067,-9.217,6.153,0.329,0.233,152.0,266.0,1.04
"beta[14, 4]",3.859,2.09,-0.424,7.531,0.789,0.583,7.0,34.0,1.59
"beta[14, 5]",-1.954,4.168,-9.542,6.233,0.403,0.288,96.0,212.0,1.06
"beta[14, 6]",-2.601,2.586,-7.539,1.874,0.799,0.582,10.0,98.0,1.31
"beta[14, 7]",0.248,2.677,-5.049,4.797,0.637,0.458,18.0,44.0,1.15
"beta[14, 8]",-0.943,3.692,-8.715,5.214,0.717,0.513,28.0,121.0,1.11
"beta[14, 9]",-2.243,3.539,-9.747,3.351,0.354,0.251,85.0,325.0,1.06
"beta[14, 10]",4.523,3.125,0.023,11.868,1.302,0.971,6.0,13.0,1.7
"beta[14, 11]",-0.177,3.84,-7.152,7.112,0.735,0.525,25.0,306.0,1.13
"beta[14, 12]",-0.006,3.114,-5.93,5.671,0.319,0.226,81.0,516.0,1.08
"beta[14, 13]",-0.77,3.232,-6.763,4.758,0.78,0.561,17.0,148.0,1.18
"beta[14, 14]",-1.529,2.932,-6.844,3.987,0.323,0.229,79.0,261.0,1.05
"beta[14, 15]",-1.746,3.27,-8.346,3.838,0.552,0.394,33.0,329.0,1.1
"beta[15, 0]",-3.711,3.99,-10.823,2.621,1.155,0.838,12.0,43.0,1.25
"beta[15, 1]",3.271,2.09,-0.609,6.858,0.839,0.624,6.0,18.0,1.7
"beta[15, 2]",2.201,1.671,-1.299,4.803,0.524,0.381,10.0,29.0,1.32
"beta[15, 3]",-1.345,3.915,-8.228,5.897,0.331,0.234,115.0,317.0,1.05
"beta[15, 4]",-2.447,4.911,-11.969,5.611,1.437,1.042,12.0,128.0,1.26
"beta[15, 5]",2.743,1.816,-0.799,5.693,0.616,0.451,9.0,16.0,1.39
"beta[15, 6]",-2.082,3.092,-7.839,3.458,0.792,0.571,15.0,214.0,1.21
"beta[15, 7]",0.284,2.738,-4.893,4.357,0.738,0.534,14.0,39.0,1.22
"beta[15, 8]",-1.14,3.811,-8.108,5.312,0.683,0.488,28.0,323.0,1.09
"beta[15, 9]",-2.47,3.559,-9.565,3.648,0.553,0.394,41.0,240.0,1.07
"beta[15, 10]",-0.69,4.334,-9.509,6.416,1.035,0.744,17.0,87.0,1.18
"beta[15, 11]",-0.788,4.19,-9.126,5.708,0.819,0.586,24.0,218.0,1.14
"beta[15, 12]",-0.518,3.215,-6.197,5.743,0.542,0.387,35.0,110.0,1.08
"beta[15, 13]",-1.029,3.377,-7.029,4.48,0.836,0.602,16.0,162.0,1.21
"beta[15, 14]",-1.704,2.878,-7.031,3.701,0.359,0.255,64.0,168.0,1.05
"beta[15, 15]",-2.379,3.326,-8.177,4.028,0.717,0.514,21.0,106.0,1.15
alpha[0],20.805,3.007,14.902,25.576,1.336,1.005,6.0,24.0,1.97
alpha[1],14.816,3.61,8.028,20.295,1.147,0.877,10.0,56.0,1.34
alpha[2],17.944,2.758,12.157,22.215,1.215,0.913,6.0,13.0,1.88
alpha[3],8.78,4.159,0.424,14.762,1.039,0.748,16.0,37.0,1.17
alpha[4],8.277,5.139,0.012,17.361,2.173,1.689,6.0,19.0,1.76
alpha[5],5.172,4.255,0.011,12.71,1.494,1.097,9.0,58.0,1.37
alpha[6],17.534,3.158,8.921,21.416,1.304,0.972,8.0,20.0,1.45
alpha[7],15.665,2.885,10.539,20.402,1.078,0.795,8.0,42.0,1.5
alpha[8],8.399,4.341,0.089,14.821,1.111,0.821,16.0,28.0,1.18
alpha[9],5.174,3.867,0.04,12.221,1.003,0.743,15.0,26.0,1.2
alpha[10],6.735,4.717,0.05,15.602,1.204,0.868,18.0,84.0,1.18
alpha[11],3.173,2.838,0.005,8.512,0.199,0.142,255.0,223.0,1.01
alpha[12],3.963,3.177,0.038,9.929,0.475,0.338,54.0,58.0,1.07
alpha[13],3.885,3.318,0.001,9.79,0.286,0.27,232.0,108.0,1.02
alpha[14],3.821,3.37,0.004,10.225,0.228,0.161,272.0,517.0,1.02
alpha[15],3.753,3.262,0.0,10.412,0.215,0.152,250.0,685.0,1.03
beta_sd[0],3.157,1.196,1.028,5.263,0.307,0.222,14.0,33.0,1.2
beta_sd[1],2.235,1.094,0.517,4.164,0.187,0.134,33.0,99.0,1.08
beta_sd[2],1.112,0.835,0.098,2.616,0.258,0.187,11.0,29.0,1.29
beta_sd[3],4.713,1.697,1.765,8.042,0.524,0.382,11.0,21.0,1.3
beta_sd[4],4.707,1.587,2.036,7.617,0.498,0.363,9.0,29.0,1.34
beta_sd[5],4.523,1.631,1.64,7.464,0.482,0.35,12.0,23.0,1.26
