,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],1.073,3.674,-5.248,7.674,1.571,1.176,6.0,17.0,1.93
beta_mu[1],-0.915,3.887,-6.418,6.473,1.751,1.32,6.0,19.0,2.0
beta_mu[2],-0.707,4.504,-8.763,6.036,1.882,1.405,6.0,23.0,1.7
beta_mu[3],2.92,2.476,-1.569,7.728,0.875,0.688,8.0,19.0,1.43
beta_mu[4],0.609,2.416,-3.472,4.991,1.123,0.851,5.0,13.0,2.77
beta_mu[5],-0.889,3.315,-7.736,4.569,1.283,0.95,7.0,30.0,1.62
beta_mu[6],1.479,3.613,-3.917,8.52,1.665,1.259,5.0,18.0,2.22
beta_mu[7],1.29,2.343,-3.137,5.688,0.828,0.608,8.0,38.0,1.48
beta_mu[8],-0.554,4.24,-7.89,7.008,1.663,1.233,7.0,43.0,1.65
beta_mu[9],-0.74,3.398,-6.89,5.703,1.311,0.971,7.0,14.0,1.58
beta_mu[10],-1.508,2.695,-6.902,2.671,0.911,0.667,8.0,14.0,1.41
beta_mu[11],2.188,4.469,-5.454,13.76,1.696,1.253,7.0,12.0,1.58
beta_mu[12],-0.801,4.213,-9.116,6.255,1.738,1.295,6.0,41.0,1.74
"beta[0, 0]",1.404,4.451,-6.798,9.149,1.688,1.248,7.0,62.0,1.57
"beta[0, 1]",8.37,3.171,2.377,14.254,0.86,0.621,14.0,48.0,1.21
"beta[0, 2]",-1.015,5.118,-11.184,6.308,1.781,1.306,9.0,58.0,1.36
"beta[0, 3]",1.571,4.214,-6.227,9.613,0.922,0.661,21.0,104.0,1.13
"beta[0, 4]",0.016,3.105,-5.213,6.055,1.203,0.891,7.0,32.0,1.65
"beta[0, 5]",-3.027,5.928,-13.475,8.203,1.996,1.46,9.0,36.0,1.38
"beta[0, 6]",-3.223,6.96,-18.367,7.115,2.759,2.048,7.0,11.0,1.51
"beta[0, 7]",3.254,2.979,-2.017,9.134,0.918,0.693,11.0,27.0,1.3
"beta[0, 8]",-0.423,5.643,-10.231,9.333,1.715,1.247,10.0,59.0,1.3
"beta[0, 9]",-0.504,5.766,-10.623,10.311,1.547,1.118,14.0,70.0,1.22
"beta[0, 10]",-1.175,3.821,-7.693,7.384,0.905,0.651,19.0,31.0,1.15
"beta[0, 11]",1.815,5.263,-8.769,12.602,1.782,1.305,9.0,12.0,1.37
"beta[0, 12]",-0.362,5.352,-10.028,9.476,1.585,1.15,12.0,61.0,1.27
"beta[1, 0]",1.322,4.328,-6.778,9.185,1.492,1.094,8.0,61.0,1.42
"beta[1, 1]",3.486,3.458,-2.287,10.386,1.435,1.07,6.0,14.0,1.81
"beta[1, 2]",-0.609,5.23,-11.059,7.258,2.04,1.512,7.0,73.0,1.55
"beta[1, 3]",2.549,4.19,-4.669,12.697,0.984,0.707,18.0,69.0,1.15
"beta[1, 4]",-0.191,2.11,-3.853,3.732,0.871,0.65,6.0,15.0,1.82
"beta[1, 5]",1.885,4.25,-6.02,9.079,1.64,1.214,7.0,26.0,1.51
"beta[1, 6]",4.105,4.408,-2.492,12.564,2.043,1.546,5.0,17.0,2.18
"beta[1, 7]",1.063,2.533,-3.935,5.767,1.022,0.76,6.0,16.0,1.7
"beta[1, 8]",-0.519,5.668,-10.252,9.604,1.826,1.332,10.0,38.0,1.33
"beta[1, 9]",-2.408,5.2,-11.516,9.007,1.599,1.164,11.0,18.0,1.28
"beta[1, 10]",-1.495,3.738,-8.141,6.859,0.756,0.549,25.0,19.0,1.12
"beta[1, 11]",2.363,5.196,-9.113,12.498,1.647,1.2,10.0,12.0,1.33
"beta[1, 12]",-0.148,5.092,-9.506,8.034,1.806,1.327,8.0,40.0,1.45
"beta[2, 0]",0.998,4.486,-8.898,8.087,1.641,1.209,7.0,20.0,1.56
"beta[2, 1]",3.244,2.194,-0.368,7.52,0.858,0.636,7.0,14.0,1.62
"beta[2, 2]",-0.404,5.116,-9.694,8.83,1.813,1.332,8.0,70.0,1.45
"beta[2, 3]",3.074,4.043,-4.416,10.258,1.051,0.758,14.0,81.0,1.21
"beta[2, 4]",0.483,2.016,-2.981,3.802,0.827,0.616,6.0,27.0,1.71
"beta[2, 5]",5.671,3.343,-0.498,12.177,1.061,0.774,10.0,20.0,1.39
"beta[2, 6]",0.897,2.082,-3.094,3.987,0.86,0.641,6.0,30.0,1.74
"beta[2, 7]",-1.888,4.9,-10.71,4.584,1.589,1.16,9.0,23.0,1.37
"beta[2, 8]",-0.61,5.108,-9.545,8.966,1.4,1.013,14.0,75.0,1.22
"beta[2, 9]",-3.313,4.639,-11.73,5.794,0.654,0.465,48.0,49.0,1.07
"beta[2, 10]",-1.599,3.45,-8.319,5.013,0.776,0.557,20.0,20.0,1.15
"beta[2, 11]",2.102,5.025,-8.031,12.406,1.731,1.269,8.0,12.0,1.41
"beta[2, 12]",-0.752,4.936,-11.246,7.399,1.656,1.211,9.0,38.0,1.39
"beta[3, 0]",0.728,4.058,-7.55,7.174,1.424,1.046,8.0,54.0,1.44
"beta[3, 1]",-2.21,5.711,-13.292,7.866,2.077,1.529,7.0,26.0,1.54
"beta[3, 2]",-1.044,5.445,-10.654,7.549,1.914,1.406,8.0,30.0,1.49
"beta[3, 3]",7.308,3.349,2.043,13.235,1.108,0.81,10.0,29.0,1.3
"beta[3, 4]",-1.065,3.496,-7.653,4.756,1.344,0.995,7.0,39.0,1.63
"beta[3, 5]",-2.632,5.927,-14.428,7.355,1.508,1.087,15.0,20.0,1.18
"beta[3, 6]",-0.896,4.634,-8.77,8.323,1.06,0.761,19.0,27.0,1.2
"beta[3, 7]",-1.312,4.704,-9.985,6.431,1.021,0.732,15.0,55.0,1.26
"beta[3, 8]",-1.672,5.553,-12.388,8.106,1.667,1.211,11.0,98.0,1.27
"beta[3, 9]",6.253,4.134,-0.448,14.123,1.619,1.2,7.0,20.0,1.6
"beta[3, 10]",-1.891,3.612,-7.991,6.306,1.004,0.727,13.0,36.0,1.23
"beta[3, 11]",1.667,5.57,-8.992,13.445,1.818,1.328,10.0,14.0,1.34
"beta[3, 12]",-1.385,5.649,-12.247,7.444,2.017,1.483,9.0,106.0,1.41
"beta[4, 0]",0.857,4.319,-6.493,8.432,1.652,1.222,7.0,36.0,1.61
"beta[4, 1]",-2.063,4.795,-9.319,6.866,2.151,1.62,6.0,21.0,2.0
"beta[4, 2]",-0.913,4.99,-9.289,7.532,1.92,1.421,7.0,57.0,1.53
"beta[4, 3]",4.598,3.353,-1.498,10.411,0.961,0.701,13.0,56.0,1.25
"beta[4, 4]",1.67,2.729,-3.308,5.946,1.228,0.925,5.0,13.0,2.23
"beta[4, 5]",4.902,3.835,-3.01,11.285,1.727,1.302,5.0,11.0,2.2
"beta[4, 6]",-3.649,5.323,-16.415,3.29,2.218,1.656,6.0,21.0,1.84
"beta[4, 7]",2.13,3.034,-5.112,7.19,1.306,0.979,6.0,11.0,1.95
"beta[4, 8]",-1.456,6.37,-14.644,8.42,2.059,1.502,9.0,84.0,1.36
"beta[4, 9]",-4.732,6.501,-18.195,6.637,2.168,1.586,9.0,21.0,1.4
"beta[4, 10]",-1.566,3.289,-8.335,4.708,0.858,0.62,16.0,14.0,1.19
"beta[4, 11]",2.068,5.037,-7.808,12.084,1.771,1.3,8.0,15.0,1.43
"beta[4, 12]",-1.229,5.403,-11.046,9.493,1.95,1.435,8.0,21.0,1.46
"beta[5, 0]",0.94,4.493,-7.278,9.994,1.657,1.221,7.0,33.0,1.54
"beta[5, 1]",-1.496,4.092,-7.441,7.258,1.688,1.258,7.0,16.0,1.69
"beta[5, 2]",-1.09,5.558,-11.174,7.853,2.004,1.474,8.0,65.0,1.42
"beta[5, 3]",1.928,4.498,-6.177,10.687,1.24,0.897,12.0,43.0,1.28
"beta[5, 4]",-1.525,2.715,-6.101,3.186,1.085,0.806,7.0,20.0,1.68
"beta[5, 5]",6.751,4.287,-0.321,15.264,1.949,1.471,5.0,14.0,2.42
"beta[5, 6]",-1.02,4.917,-8.974,8.639,2.158,1.621,5.0,18.0,2.11
"beta[5, 7]",4.445,3.709,-1.438,11.957,1.649,1.241,5.0,13.0,2.39
"beta[5, 8]",-1.246,5.656,-11.853,8.944,1.842,1.345,9.0,65.0,1.35
"beta[5, 9]",-1.941,4.765,-10.843,6.897,1.644,1.206,8.0,15.0,1.45
"beta[5, 10]",-1.649,3.588,-8.993,4.996,0.73,0.523,25.0,27.0,1.11
"beta[5, 11]",2.62,5.509,-6.531,16.406,1.738,1.267,10.0,17.0,1.3
"beta[5, 12]",-0.421,5.295,-10.88,8.96,1.958,1.444,8.0,39.0,1.49
"beta[6, 0]",1.543,4.645,-7.176,10.713,1.542,1.127,8.0,71.0,1.46
"beta[6, 1]",-3.092,5.844,-15.392,5.313,2.658,2.006,5.0,17.0,2.46
"beta[6, 2]",-0.57,5.454,-12.41,7.951,2.066,1.527,7.0,18.0,1.51
"beta[6, 3]",2.252,4.633,-6.431,11.879,1.273,0.921,13.0,39.0,1.31
"beta[6, 4]",1.375,2.558,-2.9,5.371,1.166,0.881,5.0,46.0,2.12
"beta[6, 5]",-5.349,6.247,-16.972,4.411,2.706,2.029,5.0,14.0,2.17
"beta[6, 6]",6.949,6.097,-0.645,17.291,2.945,2.256,5.0,20.0,2.61
"beta[6, 7]",-3.452,4.739,-12.807,3.811,2.057,1.543,6.0,14.0,1.92
"beta[6, 8]",-0.814,6.943,-12.06,12.987,2.486,1.828,8.0,28.0,1.49
"beta[6, 9]",2.104,5.085,-6.312,12.394,1.799,1.321,9.0,31.0,1.42
"beta[6, 10]",-1.513,3.595,-7.705,6.264,1.015,0.735,13.0,55.0,1.24
"beta[6, 11]",2.704,5.375,-8.085,12.92,1.75,1.278,9.0,15.0,1.36
"beta[6, 12]",-0.663,5.843,-13.205,8.839,2.185,1.613,7.0,21.0,1.54
"beta[7, 0]",0.755,4.598,-8.013,8.535,1.771,1.31,7.0,50.0,1.62
