1,6,6,6,6,6,5,5,6,11,10,11,12,11,11,12,10,13,13,11,12,11,11,12,13,10,8,13,9,11,12,12,14,11,14,14,12,13,15,16,11,11,13,14,16,13,12,12,13,12,14,17,17,11,20,17,17,14,14,15,15,14,15,17,14,14,15,17,22,19,22,23,20,26,25,27,25,19,23,21,20,27,25,23,25,27,20,20,22,24,21,23,27,25,24,18,22,22,28,25,28
2,14,14,14,14,16,17,16,16,17,16,21,18,21,20,18,21,21,24,23,25,24,25,24,26,25,27,27,30,24,29,26,24,27,27,29,30,35,35,28,37,33,34,33,35,37,33,38,41,43,41,36,39,45,40,46,36,48,46,43,47,47,43,43,42,47,52,54,51,56,49,47,45,44,46,47,45,46,46,54,55,52,55,61,63,55,54,61,59,44,55,54,52,47,52,61,52,63,59,53,55
3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,1,1,0,0,1,1,1,4,0,2,2,1,3,2,1,4,1,3,3,1,2,2,2,3,1,0,2,2,1,2,1,3,2,3,5,5,5,3,3,6,6,4,4,6,7,7,6,5,4,5,6,3,5,4,5,4,5,4,8,5,4,5,8,4,5,4,3,2,6,5,6,5,7,6,5,6,3
4,16,17,16,16,18,20,23,22,24,22,27,25,27,27,27,25,27,25,32,30,28,30,31,31,32,30,36,33,37,36,37,37,36,37,34,34,35,34,34,35,36,36,40,34,31,37,34,36,35,35,38,36,35,32,31,36,31,36,36,37,42,39,37,44,34,33,36,37,36,34,39,41,38,38,41,44,50,43,40,38,44,44,39,36,40,42,46,40,52,51,48,51,48,47,48,47,39,44,44,40
5,6,6,7,6,8,8,7,8,7,8,7,9,9,8,9,12,11,14,12,12,16,14,15,12,13,16,17,15,16,15,13,18,16,14,18,15,15,17,17,17,18,15,15,15,21,20,19,21,23,21,21,20,21,24,19,27,24,24,25,23,23,28,24,25,31,29,24,19,21,28,25,29,23,25,28,27,29,31,29,31,26,24,25,24,28,30,28,31,29,26,31,26,34,27,26,31,31,29,36,38
