,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[1, 9]",-1.02,9.578,-16.897,18.645,2.308,1.661,18.0,26.0,1.17
"beta[2, 0]",-12.889,9.046,-31.585,2.875,1.913,1.423,22.0,69.0,1.12
"beta[2, 1]",1.187,9.833,-14.096,22.318,2.336,1.68,18.0,27.0,1.15
"beta[2, 2]",0.27,10.249,-19.593,16.187,3.172,2.309,11.0,105.0,1.31
"beta[2, 3]",2.348,8.371,-15.137,17.811,1.481,1.057,31.0,177.0,1.1
"beta[2, 4]",3.603,9.985,-14.446,22.837,2.018,1.444,25.0,51.0,1.1
"beta[2, 5]",0.227,9.051,-16.771,15.581,2.161,1.554,18.0,73.0,1.15
"beta[2, 6]",3.11,9.961,-15.844,20.492,2.832,2.051,13.0,236.0,1.25
"beta[2, 7]",13.985,7.94,-0.641,30.034,1.537,1.099,27.0,91.0,1.1
"beta[2, 8]",-0.287,9.534,-16.637,17.291,2.376,1.711,16.0,119.0,1.19
"beta[2, 9]",-0.373,10.085,-18.63,19.46,2.294,1.647,19.0,44.0,1.16
"beta[3, 0]",-13.565,8.765,-31.26,1.538,1.76,1.379,24.0,33.0,1.11
"beta[3, 1]",1.621,9.725,-13.724,22.66,2.143,1.537,22.0,35.0,1.12
"beta[3, 2]",0.75,9.801,-18.483,16.887,2.929,2.127,12.0,170.0,1.27
"beta[3, 3]",1.968,8.339,-14.256,17.021,1.815,1.301,20.0,123.0,1.14
"beta[3, 4]",3.463,10.064,-14.345,23.165,2.001,1.432,26.0,42.0,1.11
"beta[3, 5]",0.185,9.265,-19.665,14.738,2.164,1.555,19.0,75.0,1.15
"beta[3, 6]",3.41,9.896,-13.911,22.292,2.734,1.978,13.0,94.0,1.23
"beta[3, 7]",14.547,7.943,-0.435,29.769,1.496,1.069,27.0,58.0,1.1
"beta[3, 8]",-0.037,9.674,-18.55,17.058,2.605,1.882,14.0,81.0,1.22
"beta[3, 9]",-1.174,9.847,-21.226,16.885,2.411,1.736,18.0,24.0,1.16
"beta[4, 0]",-13.028,8.725,-28.601,3.902,1.633,1.247,28.0,76.0,1.11
"beta[4, 1]",1.328,9.772,-14.405,21.534,2.532,1.827,15.0,26.0,1.18
"beta[4, 2]",0.656,9.549,-18.659,15.019,2.964,2.158,11.0,189.0,1.28
"beta[4, 3]",2.21,8.477,-14.066,18.435,1.681,1.203,24.0,173.0,1.12
"beta[4, 4]",3.531,10.034,-15.043,22.293,1.901,1.358,28.0,62.0,1.1
"beta[4, 5]",-0.283,9.313,-19.739,15.719,2.248,1.618,18.0,89.0,1.15
"beta[4, 6]",3.018,9.56,-15.217,19.99,2.772,2.01,12.0,105.0,1.27
"beta[4, 7]",13.964,8.105,-1.471,29.401,1.436,1.025,31.0,91.0,1.09
"beta[4, 8]",0.108,9.275,-16.573,16.564,2.53,1.829,14.0,75.0,1.23
"beta[4, 9]",-0.682,9.837,-18.33,18.323,2.205,1.583,20.0,26.0,1.15
"beta[5, 0]",-13.566,7.854,-27.328,1.883,1.686,1.209,22.0,60.0,1.13
"beta[5, 1]",1.282,9.129,-13.919,20.212,2.111,1.517,20.0,21.0,1.14
"beta[5, 2]",0.991,9.283,-16.747,15.869,2.565,1.856,14.0,168.0,1.23
"beta[5, 3]",2.324,7.509,-10.896,17.494,1.553,1.112,23.0,190.0,1.12
"beta[5, 4]",3.409,9.511,-14.252,20.523,1.75,1.25,30.0,71.0,1.1
"beta[5, 5]",0.551,8.617,-16.002,14.9,1.981,1.423,20.0,95.0,1.15
"beta[5, 6]",3.396,9.262,-14.734,19.5,2.8,2.035,11.0,99.0,1.3
"beta[5, 7]",14.154,6.57,1.427,26.567,1.207,0.862,29.0,165.0,1.09
"beta[5, 8]",-0.107,9.039,-15.23,16.974,2.452,1.773,14.0,78.0,1.23
"beta[5, 9]",-0.687,8.767,-16.875,16.464,1.73,1.238,25.0,103.0,1.12
"beta[6, 0]",-17.158,7.037,-30.04,-3.794,1.729,1.245,17.0,55.0,1.18
"beta[6, 1]",1.57,9.222,-13.764,20.206,2.065,1.482,21.0,32.0,1.14
"beta[6, 2]",1.159,9.162,-15.302,16.55,2.738,1.988,12.0,78.0,1.27
"beta[6, 3]",2.645,7.698,-13.438,16.203,1.38,0.985,30.0,175.0,1.1
"beta[6, 4]",3.469,9.663,-14.906,21.854,2.061,1.477,23.0,50.0,1.12
"beta[6, 5]",-0.245,9.039,-17.933,15.611,2.153,1.548,18.0,57.0,1.15
"beta[6, 6]",3.382,9.6,-13.787,21.637,2.675,1.936,13.0,91.0,1.25
"beta[6, 7]",16.496,8.106,1.788,32.334,1.712,1.227,22.0,108.0,1.12
"beta[6, 8]",-0.371,9.364,-16.199,18.369,2.503,1.808,14.0,72.0,1.22
"beta[6, 9]",-0.757,9.093,-18.794,15.0,1.886,1.35,23.0,43.0,1.13
"beta[7, 0]",-13.396,8.384,-29.525,2.208,1.736,1.261,23.0,81.0,1.12
"beta[7, 1]",0.939,8.971,-15.453,19.104,2.072,1.489,19.0,18.0,1.15
"beta[7, 2]",0.574,9.609,-18.626,14.958,2.863,2.079,12.0,154.0,1.27
"beta[7, 3]",1.708,8.289,-13.886,17.487,1.617,1.157,25.0,222.0,1.11
"beta[7, 4]",2.594,9.307,-13.545,21.499,1.857,1.329,25.0,66.0,1.11
"beta[7, 5]",0.174,8.77,-16.757,14.908,2.107,1.516,18.0,80.0,1.15
"beta[7, 6]",3.168,9.122,-12.712,21.229,2.659,1.929,12.0,66.0,1.28
"beta[7, 7]",16.076,6.157,5.641,28.261,1.192,0.852,25.0,111.0,1.12
"beta[7, 8]",-0.024,9.284,-16.266,16.924,2.56,1.852,13.0,98.0,1.22
"beta[7, 9]",-0.972,9.248,-17.433,16.791,2.074,1.489,21.0,58.0,1.15
"beta[8, 0]",-13.071,8.841,-29.739,2.925,2.004,1.481,19.0,27.0,1.14
"beta[8, 1]",1.057,9.836,-14.351,21.809,2.391,1.721,18.0,35.0,1.15
"beta[8, 2]",0.835,9.398,-16.595,16.066,2.675,1.938,13.0,127.0,1.24
"beta[8, 3]",2.44,8.116,-12.328,18.211,1.602,1.146,25.0,174.0,1.12
"beta[8, 4]",3.471,9.903,-15.111,22.161,1.943,1.39,27.0,43.0,1.12
"beta[8, 5]",0.268,9.097,-18.208,15.99,2.185,1.572,17.0,123.0,1.16
"beta[8, 6]",3.545,9.69,-14.717,20.906,2.612,1.888,14.0,146.0,1.22
"beta[8, 7]",13.992,8.13,-2.381,28.013,1.428,1.019,33.0,63.0,1.09
"beta[8, 8]",-0.136,9.271,-16.183,18.1,2.412,1.74,15.0,80.0,1.22
"beta[8, 9]",-1.088,9.471,-20.234,16.458,2.319,1.67,17.0,32.0,1.17
"beta[9, 0]",-13.297,8.706,-31.414,1.848,1.77,1.267,24.0,100.0,1.12
"beta[9, 1]",1.159,9.764,-13.945,22.327,2.285,1.642,19.0,24.0,1.15
"beta[9, 2]",1.138,9.681,-16.965,17.413,2.677,1.937,14.0,110.0,1.24
"beta[9, 3]",1.87,8.25,-14.102,17.59,1.449,1.034,31.0,128.0,1.1
"beta[9, 4]",3.362,10.061,-15.592,21.974,2.102,1.506,23.0,65.0,1.12
"beta[9, 5]",0.297,9.235,-15.871,19.054,2.264,1.63,17.0,93.0,1.17
"beta[9, 6]",3.644,10.055,-13.362,23.32,2.921,2.119,12.0,135.0,1.28
"beta[9, 7]",14.415,7.781,0.623,31.305,1.478,1.057,27.0,197.0,1.11
"beta[9, 8]",0.143,9.381,-15.804,17.631,2.572,1.86,14.0,134.0,1.22
"beta[9, 9]",-0.893,9.895,-20.179,16.98,2.13,1.527,22.0,49.0,1.13
alpha[0],10.21,10.095,0.003,27.246,1.378,1.142,131.0,46.0,1.05
alpha[1],8.016,7.354,0.033,21.605,0.258,0.182,658.0,1046.0,1.0
alpha[2],8.387,7.799,0.026,23.116,0.281,0.199,686.0,1027.0,1.01
alpha[3],9.383,8.746,0.019,24.992,0.308,0.218,608.0,815.0,1.01
alpha[4],8.256,7.589,0.002,22.314,0.273,0.193,568.0,539.0,1.0
alpha[5],8.29,8.011,0.009,22.838,0.278,0.197,662.0,751.0,1.01
alpha[6],8.469,8.063,0.0,23.459,0.296,0.209,497.0,412.0,1.0
alpha[7],61.865,16.305,36.344,95.765,1.362,0.965,106.0,210.0,1.05
alpha[8],8.263,7.523,0.004,22.79,0.281,0.199,563.0,529.0,1.0
alpha[9],8.194,7.832,0.005,22.715,0.303,0.214,520.0,748.0,1.01
beta_sd[0],5.577,2.438,0.782,9.533,0.593,0.427,17.0,64.0,1.18
beta_sd[1],4.974,2.2,1.125,8.664,0.233,0.166,94.0,97.0,1.06
beta_sd[2],4.875,2.516,0.416,8.807,0.777,0.565,10.0,11.0,1.31
beta_sd[3],4.955,2.226,0.72,8.44,0.254,0.181,74.0,39.0,1.12
beta_sd[4],5.321,2.027,1.608,8.933,0.178,0.126,131.0,191.0,1.02
beta_sd[5],4.843,2.044,0.532,8.195,0.3,0.214,48.0,63.0,1.08
beta_sd[6],5.388,2.25,0.893,8.938,0.478,0.342,22.0,65.0,1.14
beta_sd[7],5.128,2.469,1.048,9.58,0.509,0.372,25.0,37.0,1.12
beta_sd[8],4.757,2.081,1.228,8.763,0.225,0.16,84.0,70.0,1.05
beta_sd[9],5.332,2.316,0.809,9.085,0.439,0.314,28.0,53.0,1.12
"p[0, 0]",0.0,0.0,0.0,0.0,0.0,0.0,37.0,223.0,1.09
"p[0, 1]",0.0,0.0,0.0,0.0,0.0,0.0,39.0,289.0,1.08
"p[0, 2]",0.0,0.0,0.0,0.0,0.0,0.0,22.0,287.0,1.14
"p[0, 3]",0.0,0.0,0.0,0.0,0.0,0.0,41.0,248.0,1.08
"p[0, 4]",0.0,0.0,0.0,0.0,0.0,0.0,149.0,201.0,1.03
"p[0, 5]",0.0,0.0,0.0,0.0,0.0,0.0,49.0,346.0,1.06
"p[0, 6]",0.0,0.0,0.0,0.0,0.0,0.0,23.0,319.0,1.14
"p[0, 7]",1.0,0.0,1.0,1.0,0.0,0.0,301.0,785.0,1.03
"p[0, 8]",0.0,0.0,0.0,0.0,0.0,0.0,99.0,346.0,1.04
"p[0, 9]",0.0,0.0,0.0,0.0,0.0,0.0,74.0,267.0,1.06
"p[1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,43.0,226.0,1.08
"p[1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,46.0,287.0,1.07
"p[1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,26.0,296.0,1.12
"p[1, 3]",0.0,0.0,0.0,0.0,0.0,0.0,48.0,369.0,1.08
"p[1, 4]",0.0,0.0,0.0,0.0,0.0,0.0,160.0,214.0,1.03
"p[1, 5]",0.0,0.0,0.0,0.0,0.0,0.0,55.0,332.0,1.05
"p[1, 6]",0.0,0.0,0.0,0.0,0.0,0.0,26.0,325.0,1.13
"p[1, 7]",1.0,0.0,1.0,1.0,0.0,0.0,311.0,836.0,1.03
"p[1, 8]",0.0,0.0,0.0,0.0,0.0,0.0,113.0,341.0,1.03
"p[1, 9]",0.0,0.0,0.0,0.0,0.0,0.0,95.0,299.0,1.05
"p[2, 0]",0.0,0.0,0.0,0.0,0.0,0.0,52.0,212.0,1.07
"p[2, 1]",0.0,0.0,0.0,0.0,0.0,0.0,93.0,323.0,1.04
"p[2, 2]",0.0,0.0,0.0,0.0,0.0,0.0,58.0,409.0,1.07
"p[2, 3]",0.0,0.0,0.0,0.0,0.0,0.0,91.0,365.0,1.06
"p[2, 4]",0.0,0.0,0.0,0.0,0.0,0.0,182.0,260.0,1.03
"p[2, 5]",0.0,0.0,0.0,0.0,0.0,0.0,91.0,404.0,1.04
"p[2, 6]",0.0,0.0,0.0,0.0,0.0,0.0,101.0,432.0,1.06
"p[2, 7]",1.0,0.0,1.0,1.0,0.0,0.0,298.0,840.0,1.03
"p[2, 8]",0.0,0.0,0.0,0.0,0.0,0.0,164.0,366.0,1.02
"p[2, 9]",0.0,0.0,0.0,0.0,0.0,0.0,158.0,332.0,1.03
"p[3, 0]",0.0,0.0,0.0,0.0,0.0,0.0,126.0,310.0,1.06
"p[3, 1]",0.0,0.0,0.0,0.0,0.0,0.0,199.0,280.0,1.03
"p[3, 2]",0.0,0.0,0.0,0.0,0.0,0.0,209.0,439.0,1.03
"p[3, 3]",0.0,0.0,0.0,0.0,0.0,0.0,187.0,313.0,1.03
"p[3, 4]",0.0,0.0,0.0,0.0,0.0,0.0,197.0,364.0,1.03
"p[3, 5]",0.0,0.0,0.0,0.0,0.0,0.0,202.0,330.0,1.03
"p[3, 6]",0.0,0.0,0.0,0.0,0.0,0.0,226.0,372.0,1.03
"p[3, 7]",1.0,0.0,1.0,1.0,0.0,0.0,275.0,1035.0,1.02
"p[3, 8]",0.0,0.0,0.0,0.0,0.0,0.0,212.0,358.0,1.02
"p[3, 9]",0.0,0.0,0.0,0.0,0.0,0.0,192.0,349.0,1.02
"p[4, 0]",0.999,0.004,0.996,1.0,0.0,0.0,177.0,2753.0,1.03
"p[4, 1]",0.0,0.001,0.0,0.0,0.0,0.0,23.0,34.0,1.12
"p[4, 2]",0.0,0.002,0.0,0.0,0.0,0.0,9.0,35.0,1.37
"p[4, 3]",0.0,0.001,0.0,0.0,0.0,0.0,43.0,146.0,1.08
"p[4, 4]",0.0,0.0,0.0,0.0,0.0,0.0,21.0,28.0,1.14
"p[4, 5]",0.0,0.001,0.0,0.0,0.0,0.0,77.0,195.0,1.02
"p[4, 6]",0.0,0.002,0.0,0.0,0.0,0.0,14.0,225.0,1.22
"p[4, 7]",0.0,0.002,0.0,0.0,0.0,0.0,33.0,385.0,1.1
"p[4, 8]",0.0,0.001,0.0,0.0,0.0,0.0,19.0,60.0,1.16
"p[4, 9]",0.0,0.002,0.0,0.0,0.0,0.0,22.0,64.0,1.14
"p[5, 0]",0.0,0.0,0.0,0.0,0.0,0.0,37.0,206.0,1.09
"p[5, 1]",0.0,0.0,0.0,0.0,0.0,0.0,32.0,268.0,1.09
"p[5, 2]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,182.0,1.17
"p[5, 3]",0.0,0.0,0.0,0.0,0.0,0.0,34.0,272.0,1.09
"p[5, 4]",0.0,0.0,0.0,0.0,0.0,0.0,114.0,173.0,1.03
"p[5, 5]",0.0,0.0,0.0,0.0,0.0,0.0,41.0,277.0,1.07
"p[5, 6]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,294.0,1.19
"p[5, 7]",1.0,0.0,1.0,1.0,0.0,0.0,290.0,745.0,1.03
"p[5, 8]",0.0,0.0,0.0,0.0,0.0,0.0,77.0,252.0,1.06
"p[5, 9]",0.0,0.0,0.0,0.0,0.0,0.0,45.0,219.0,1.07
"p[6, 0]",0.0,0.0,0.0,0.0,0.0,0.0,31.0,224.0,1.1
"p[6, 1]",0.0,0.0,0.0,0.0,0.0,0.0,30.0,240.0,1.1
"p[6, 2]",0.0,0.0,0.0,0.0,0.0,0.0,16.0,220.0,1.18
"p[6, 3]",0.0,0.0,0.0,0.0,0.0,0.0,32.0,158.0,1.1
"p[6, 4]",0.0,0.0,0.0,0.0,0.0,0.0,112.0,177.0,1.03
"p[6, 5]",0.0,0.0,0.0,0.0,0.0,0.0,39.0,270.0,1.07
"p[6, 6]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,288.0,1.19
"p[6, 7]",1.0,0.0,1.0,1.0,0.0,0.0,292.0,724.0,1.03
"p[6, 8]",0.0,0.0,0.0,0.0,0.0,0.0,74.0,315.0,1.06
"p[6, 9]",0.0,0.0,0.0,0.0,0.0,0.0,44.0,184.0,1.08
"p[7, 0]",0.0,0.0,0.0,0.0,0.0,0.0,43.0,226.0,1.08
"p[7, 1]",0.0,0.0,0.0,0.0,0.0,0.0,46.0,315.0,1.07
"p[7, 2]",0.0,0.0,0.0,0.0,0.0,0.0,25.0,290.0,1.12
"p[7, 3]",0.0,0.0,0.0,0.0,0.0,0.0,46.0,432.0,1.08
"p[7, 4]",0.0,0.0,0.0,0.0,0.0,0.0,154.0,205.0,1.03
"p[7, 5]",0.0,0.0,0.0,0.0,0.0,0.0,54.0,341.0,1.06
"p[7, 6]",0.0,0.0,0.0,0.0,0.0,0.0,25.0,330.0,1.13
"p[7, 7]",1.0,0.0,1.0,1.0,0.0,0.0,240.0,742.0,1.03
"p[7, 8]",0.0,0.0,0.0,0.0,0.0,0.0,105.0,325.0,1.04
"p[7, 9]",0.0,0.0,0.0,0.0,0.0,0.0,88.0,273.0,1.05
"p[8, 0]",0.0,0.0,0.0,0.0,0.0,0.0,36.0,252.0,1.1
"p[8, 1]",0.0,0.0,0.0,0.0,0.0,0.0,29.0,233.0,1.1
"p[8, 2]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,219.0,1.18
"p[8, 3]",0.0,0.0,0.0,0.0,0.0,0.0,35.0,80.0,1.09
"p[8, 4]",0.0,0.0,0.0,0.0,0.0,0.0,115.0,208.0,1.03
"p[8, 5]",0.0,0.0,0.0,0.0,0.0,0.0,42.0,225.0,1.07
"p[8, 6]",0.0,0.0,0.0,0.0,0.0,0.0,18.0,339.0,1.18
"p[8, 7]",1.0,0.0,1.0,1.0,0.0,0.0,257.0,916.0,1.03
"p[8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,74.0,420.0,1.05
"p[8, 9]",0.0,0.0,0.0,0.0,0.0,0.0,46.0,124.0,1.08
"p[9, 0]",0.0,0.0,0.0,0.0,0.0,0.0,97.0,410.0,1.05
"p[9, 1]",0.0,0.0,0.0,0.0,0.0,0.0,151.0,345.0,1.03
"p[9, 2]",0.0,0.0,0.0,0.0,0.0,0.0,136.0,424.0,1.04
"p[9, 3]",0.0,0.0,0.0,0.0,0.0,0.0,161.0,447.0,1.04
"p[9, 4]",0.0,0.0,0.0,0.0,0.0,0.0,196.0,332.0,1.03
"p[9, 5]",0.0,0.0,0.0,0.0,0.0,0.0,156.0,413.0,1.03
"p[9, 6]",0.0,0.0,0.0,0.0,0.0,0.0,192.0,466.0,1.04
"p[9, 7]",1.0,0.0,1.0,1.0,0.0,0.0,158.0,1342.0,1.03
"p[9, 8]",0.0,0.0,0.0,0.0,0.0,0.0,187.0,370.0,1.03
"p[9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,198.0,464.0,1.02
"p[10, 0]",0.0,0.0,0.0,0.0,0.0,0.0,36.0,223.0,1.09
"p[10, 1]",0.0,0.0,0.0,0.0,0.0,0.0,38.0,284.0,1.08
"p[10, 2]",0.0,0.0,0.0,0.0,0.0,0.0,21.0,273.0,1.14
"p[10, 3]",0.0,0.0,0.0,0.0,0.0,0.0,40.0,252.0,1.08
"p[10, 4]",0.0,0.0,0.0,0.0,0.0,0.0,147.0,199.0,1.03
"p[10, 5]",0.0,0.0,0.0,0.0,0.0,0.0,48.0,328.0,1.06
"p[10, 6]",0.0,0.0,0.0,0.0,0.0,0.0,22.0,315.0,1.15
"p[10, 7]",1.0,0.0,1.0,1.0,0.0,0.0,307.0,777.0,1.03
"p[10, 8]",0.0,0.0,0.0,0.0,0.0,0.0,96.0,334.0,1.04
"p[10, 9]",0.0,0.0,0.0,0.0,0.0,0.0,70.0,244.0,1.06
"p[11, 0]",0.0,0.0,0.0,0.0,0.0,0.0,37.0,243.0,1.09
"p[11, 1]",0.0,0.0,0.0,0.0,0.0,0.0,33.0,238.0,1.09
"p[11, 2]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,247.0,1.16
"p[11, 3]",0.0,0.0,0.0,0.0,0.0,0.0,39.0,128.0,1.09
"p[11, 4]",0.0,0.0,0.0,0.0,0.0,0.0,141.0,214.0,1.03
"p[11, 5]",0.0,0.0,0.0,0.0,0.0,0.0,45.0,280.0,1.06
"p[11, 6]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,301.0,1.16
"p[11, 7]",1.0,0.0,1.0,1.0,0.0,0.0,245.0,838.0,1.03
"p[11, 8]",0.0,0.0,0.0,0.0,0.0,0.0,86.0,375.0,1.05
"p[11, 9]",0.0,0.0,0.0,0.0,0.0,0.0,59.0,243.0,1.06
"p[12, 0]",0.0,0.0,0.0,0.0,0.0,0.0,42.0,222.0,1.08
"p[12, 1]",0.0,0.0,0.0,0.0,0.0,0.0,36.0,289.0,1.08
"p[12, 2]",0.0,0.0,0.0,0.0,0.0,0.0,20.0,224.0,1.15
"p[12, 3]",0.0,0.0,0.0,0.0,0.0,0.0,40.0,244.0,1.09
"p[12, 4]",0.0,0.0,0.0,0.0,0.0,0.0,138.0,181.0,1.03
"p[12, 5]",0.0,0.0,0.0,0.0,0.0,0.0,46.0,296.0,1.06
"p[12, 6]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,312.0,1.17
"p[12, 7]",1.0,0.0,1.0,1.0,0.0,0.0,295.0,712.0,1.03
"p[12, 8]",0.0,0.0,0.0,0.0,0.0,0.0,89.0,281.0,1.05
"p[12, 9]",0.0,0.0,0.0,0.0,0.0,0.0,59.0,235.0,1.06
"p[13, 0]",0.0,0.0,0.0,0.0,0.0,0.0,35.0,270.0,1.1
"p[13, 1]",0.0,0.0,0.0,0.0,0.0,0.0,25.0,251.0,1.12
"p[13, 2]",0.0,0.0,0.0,0.0,0.0,0.0,14.0,200.0,1.21
"p[13, 3]",0.0,0.0,0.0,0.0,0.0,0.0,34.0,75.0,1.09
"p[13, 4]",0.0,0.0,0.0,0.0,0.0,0.0,99.0,210.0,1.04
"p[13, 5]",0.0,0.0,0.0,0.0,0.0,0.0,37.0,201.0,1.07
"p[13, 6]",0.0,0.0,0.0,0.0,0.0,0.0,15.0,344.0,1.21
"p[13, 7]",1.0,0.0,1.0,1.0,0.0,0.0,267.0,932.0,1.02
"p[13, 8]",0.0,0.0,0.0,0.0,0.0,0.0,51.0,291.0,1.07
"p[13, 9]",0.0,0.0,0.0,0.0,0.0,0.0,35.0,165.0,1.09
"p[14, 0]",0.0,0.0,0.0,0.0,0.0,0.0,51.0,336.0,1.07
"p[14, 1]",0.0,0.0,0.0,0.0,0.0,0.0,29.0,255.0,1.1
"p[14, 2]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,210.0,1.18
"p[14, 3]",0.0,0.0,0.0,0.0,0.0,0.0,37.0,340.0,1.09
"p[14, 4]",0.0,0.0,0.0,0.0,0.0,0.0,98.0,228.0,1.03
"p[14, 5]",0.0,0.0,0.0,0.0,0.0,0.0,39.0,280.0,1.07
"p[14, 6]",0.0,0.0,0.0,0.0,0.0,0.0,15.0,344.0,1.21
"p[14, 7]",1.0,0.0,1.0,1.0,0.0,0.0,328.0,1469.0,1.02
"p[14, 8]",0.0,0.0,0.0,0.0,0.0,0.0,69.0,249.0,1.07
"p[14, 9]",0.0,0.0,0.0,0.0,0.0,0.0,40.0,242.0,1.07
"p[15, 0]",0.0,0.0,0.0,0.0,0.0,0.0,41.0,226.0,1.09
"p[15, 1]",0.0,0.0,0.0,0.0,0.0,0.0,49.0,300.0,1.07
"p[15, 2]",0.0,0.0,0.0,0.0,0.0,0.0,27.0,323.0,1.11
"p[15, 3]",0.0,0.0,0.0,0.0,0.0,0.0,48.0,310.0,1.07
"p[15, 4]",0.0,0.0,0.0,0.0,0.0,0.0,163.0,238.0,1.03
"p[15, 5]",0.0,0.0,0.0,0.0,0.0,0.0,57.0,360.0,1.05
"p[15, 6]",0.0,0.0,0.0,0.0,0.0,0.0,31.0,332.0,1.11
"p[15, 7]",1.0,0.0,1.0,1.0,0.0,0.0,290.0,854.0,1.03
"p[15, 8]",0.0,0.0,0.0,0.0,0.0,0.0,119.0,396.0,1.03
"p[15, 9]",0.0,0.0,0.0,0.0,0.0,0.0,99.0,298.0,1.05
"p[16, 0]",0.0,0.0,0.0,0.0,0.0,0.0,45.0,247.0,1.09
"p[16, 1]",0.0,0.0,0.0,0.0,0.0,0.0,47.0,296.0,1.07
"p[16, 2]",0.0,0.0,0.0,0.0,0.0,0.0,27.0,302.0,1.11
"p[16, 3]",0.0,0.0,0.0,0.0,0.0,0.0,49.0,203.0,1.07
"p[16, 4]",0.0,0.0,0.0,0.0,0.0,0.0,167.0,250.0,1.03
"p[16, 5]",0.0,0.0,0.0,0.0,0.0,0.0,58.0,321.0,1.05
"p[16, 6]",0.0,0.0,0.0,0.0,0.0,0.0,30.0,347.0,1.12
"p[16, 7]",1.0,0.0,1.0,1.0,0.0,0.0,294.0,975.0,1.03
"p[16, 8]",0.0,0.0,0.0,0.0,0.0,0.0,118.0,425.0,1.03
"p[16, 9]",0.0,0.0,0.0,0.0,0.0,0.0,96.0,310.0,1.05
"p[17, 0]",0.0,0.0,0.0,0.0,0.0,0.0,38.0,230.0,1.09
"p[17, 1]",0.0,0.0,0.0,0.0,0.0,0.0,34.0,260.0,1.09
"p[17, 2]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,237.0,1.16
"p[17, 3]",0.0,0.0,0.0,0.0,0.0,0.0,38.0,267.0,1.09
