,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],-13.219,6.329,-26.071,-2.642,1.768,1.328,14.0,25.0,1.21
beta_mu[1],1.212,8.253,-10.027,21.546,2.269,1.641,14.0,14.0,1.21
beta_mu[2],0.826,8.037,-15.105,13.129,2.824,2.074,9.0,52.0,1.39
beta_mu[3],2.14,6.243,-9.306,14.247,1.604,1.157,15.0,59.0,1.21
beta_mu[4],3.316,8.17,-12.118,18.506,1.933,1.39,20.0,37.0,1.15
beta_mu[5],0.13,7.568,-14.545,12.761,2.104,1.523,14.0,71.0,1.22
beta_mu[6],3.268,7.964,-12.16,15.24,2.728,1.999,9.0,44.0,1.42
beta_mu[7],14.358,5.586,4.113,25.416,1.497,1.081,14.0,29.0,1.21
beta_mu[8],-0.09,7.992,-13.485,16.019,2.437,1.773,11.0,57.0,1.31
beta_mu[9],-0.973,7.923,-16.547,12.552,2.309,1.675,12.0,15.0,1.27
"beta[0, 0]",-14.191,7.926,-30.091,-0.479,1.768,1.296,20.0,74.0,1.14
"beta[0, 1]",1.645,9.256,-13.197,21.028,2.02,1.448,23.0,26.0,1.13
"beta[0, 2]",0.698,9.001,-15.495,15.225,2.73,1.985,11.0,130.0,1.28
"beta[0, 3]",2.293,7.69,-11.315,17.712,1.594,1.142,23.0,149.0,1.12
"beta[0, 4]",3.084,9.417,-14.559,20.073,1.626,1.16,34.0,61.0,1.09
"beta[0, 5]",0.323,8.685,-15.525,16.879,2.053,1.476,18.0,109.0,1.15
"beta[0, 6]",3.127,9.322,-14.315,20.21,2.766,2.008,12.0,134.0,1.28
"beta[0, 7]",14.289,6.48,1.15,25.682,1.259,0.9,26.0,41.0,1.11
"beta[0, 8]",0.049,9.072,-15.226,16.811,2.46,1.778,14.0,106.0,1.22
"beta[0, 9]",-0.677,8.718,-16.553,15.349,1.721,1.231,25.0,93.0,1.11
"beta[1, 0]",-13.358,8.847,-29.82,2.764,1.617,1.291,27.0,61.0,1.11
"beta[1, 1]",1.108,10.076,-15.109,22.063,2.177,1.561,22.0,25.0,1.13
"beta[1, 2]",0.953,9.825,-19.13,16.264,2.842,2.061,12.0,88.0,1.26
"beta[1, 3]",2.166,8.551,-14.768,18.09,1.698,1.215,24.0,131.0,1.11
"beta[1, 4]",3.221,9.792,-14.955,21.338,1.873,1.339,28.0,72.0,1.11
"beta[1, 5]",0.278,8.987,-17.782,15.43,2.159,1.553,18.0,92.0,1.16
"beta[1, 6]",3.219,10.13,-15.344,22.459,2.859,2.071,13.0,129.0,1.25
"beta[1, 7]",14.159,8.389,-2.394,30.331,1.765,1.265,23.0,73.0,1.12
"beta[1, 8]",0.083,9.38,-15.959,18.217,2.356,1.697,16.0,104.0,1.2
