,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],11.625,5.945,1.715,22.441,2.11,1.55,8.0,38.0,1.46
beta_mu[1],4.676,8.206,-8.129,20.775,3.637,2.736,6.0,25.0,1.98
beta_mu[2],-7.138,6.415,-18.886,2.76,2.535,1.881,7.0,21.0,1.63
beta_mu[3],-8.879,8.298,-22.8,7.337,3.785,2.858,5.0,14.0,2.25
beta_mu[4],-10.942,8.385,-24.845,5.729,3.789,2.857,6.0,31.0,2.01
beta_mu[5],10.703,6.847,-0.571,22.444,2.836,2.115,6.0,29.0,1.77
beta_mu[6],2.313,5.572,-8.751,12.425,2.157,1.597,7.0,13.0,1.62
beta_mu[7],-4.658,7.659,-15.8,8.539,3.169,2.363,7.0,44.0,1.62
beta_mu[8],6.255,6.993,-4.845,19.752,2.958,2.221,6.0,21.0,1.75
beta_mu[9],0.443,5.651,-10.656,11.886,2.146,1.586,7.0,13.0,1.57
"beta[0, 0]",21.449,7.107,6.867,33.748,1.771,1.276,16.0,24.0,1.2
"beta[0, 1]",4.942,8.782,-10.153,20.102,3.635,2.711,6.0,29.0,1.76
"beta[0, 2]",-7.78,8.415,-22.906,6.373,2.676,1.951,10.0,104.0,1.3
"beta[0, 3]",-10.589,8.868,-27.089,6.739,3.052,2.237,9.0,41.0,1.45
"beta[0, 4]",-12.356,10.391,-26.968,9.675,4.173,3.102,7.0,25.0,1.67
"beta[0, 5]",10.66,8.126,-2.772,25.711,2.899,2.131,8.0,54.0,1.46
"beta[0, 6]",0.215,8.831,-15.84,14.718,2.595,1.883,11.0,47.0,1.28
"beta[0, 7]",-6.843,8.877,-23.079,8.716,2.979,2.18,9.0,30.0,1.36
"beta[0, 8]",5.971,8.64,-7.995,22.953,3.155,2.324,8.0,91.0,1.46
"beta[0, 9]",-0.541,8.433,-16.797,14.956,2.115,1.524,16.0,30.0,1.2
"beta[1, 0]",18.213,6.426,2.668,27.3,1.887,1.369,13.0,13.0,1.26
"beta[1, 1]",4.628,9.224,-9.196,22.883,3.855,2.878,6.0,19.0,1.72
"beta[1, 2]",-6.602,8.793,-21.9,9.262,2.892,2.113,9.0,75.0,1.38
"beta[1, 3]",-10.302,9.115,-29.755,4.606,3.074,2.25,9.0,74.0,1.4
"beta[1, 4]",-11.406,9.576,-24.882,10.874,3.764,2.791,7.0,26.0,1.6
"beta[1, 5]",9.362,8.027,-5.534,23.211,2.907,2.14,8.0,30.0,1.47
"beta[1, 6]",2.134,7.405,-13.173,14.111,2.131,1.545,12.0,111.0,1.25
"beta[1, 7]",-4.626,9.19,-19.205,13.871,3.092,2.263,9.0,81.0,1.37
