,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[1, 8]",5.115,8.61,-9.18,21.566,2.923,2.14,9.0,44.0,1.37
"beta[1, 9]",-0.081,7.889,-13.175,15.996,1.724,1.236,22.0,94.0,1.13
"beta[2, 0]",10.268,7.813,-1.812,25.919,2.031,1.466,15.0,116.0,1.21
"beta[2, 1]",4.867,8.459,-7.445,22.986,3.45,2.568,7.0,30.0,1.68
"beta[2, 2]",1.04,6.923,-11.381,12.657,2.472,1.817,8.0,44.0,1.46
"beta[2, 3]",-11.652,9.373,-27.338,6.769,3.518,2.597,8.0,13.0,1.46
"beta[2, 4]",-14.113,9.299,-30.54,2.639,3.732,2.774,7.0,29.0,1.71
"beta[2, 5]",10.737,7.807,-4.603,23.625,3.021,2.237,7.0,60.0,1.62
"beta[2, 6]",0.468,7.408,-13.195,15.085,2.285,1.663,11.0,36.0,1.29
"beta[2, 7]",-2.794,8.747,-14.127,14.325,3.678,2.748,6.0,25.0,1.7
"beta[2, 8]",5.874,8.386,-8.318,20.224,3.115,2.298,8.0,31.0,1.51
"beta[2, 9]",-1.504,7.52,-15.699,13.396,2.024,1.462,14.0,20.0,1.22
"beta[3, 0]",10.777,7.935,-3.27,24.661,2.319,1.682,12.0,88.0,1.26
"beta[3, 1]",4.938,9.324,-9.586,22.816,3.761,2.797,7.0,31.0,1.71
"beta[3, 2]",-9.305,8.36,-22.628,4.683,2.592,1.887,10.0,46.0,1.33
"beta[3, 3]",1.518,12.285,-13.37,27.521,5.661,4.281,6.0,15.0,1.87
"beta[3, 4]",-13.275,8.579,-27.672,3.179,3.293,2.437,7.0,33.0,1.54
"beta[3, 5]",11.069,8.747,-3.749,27.862,3.112,2.288,8.0,47.0,1.48
"beta[3, 6]",-3.403,8.228,-19.437,9.567,2.844,2.086,8.0,37.0,1.43
"beta[3, 7]",-6.655,9.101,-22.271,9.999,3.256,2.394,8.0,59.0,1.45
"beta[3, 8]",6.505,8.264,-8.964,21.589,2.965,2.181,8.0,41.0,1.47
"beta[3, 9]",4.809,7.72,-10.542,16.764,3.04,2.255,7.0,14.0,1.63
"beta[4, 0]",12.872,7.796,-0.525,28.248,2.218,1.607,13.0,81.0,1.24
"beta[4, 1]",4.263,9.371,-11.045,22.73,3.809,2.835,7.0,39.0,1.67
"beta[4, 2]",-5.987,9.242,-23.601,7.683,3.457,2.551,7.0,16.0,1.52
"beta[4, 3]",-11.715,11.928,-31.08,11.033,5.232,3.93,6.0,22.0,1.99
"beta[4, 4]",-4.459,12.97,-22.432,22.28,5.947,4.494,5.0,24.0,2.15
"beta[4, 5]",11.312,8.389,-1.802,29.553,2.958,2.172,8.0,100.0,1.46
"beta[4, 6]",2.27,7.395,-9.368,17.357,2.586,1.898,9.0,78.0,1.41
"beta[4, 7]",-9.216,10.369,-27.617,8.193,3.868,2.855,8.0,40.0,1.45
"beta[4, 8]",6.557,8.51,-9.141,21.443,3.075,2.263,8.0,35.0,1.47
"beta[4, 9]",-2.462,7.348,-16.615,10.709,2.137,1.55,12.0,38.0,1.27
"beta[5, 0]",8.461,7.409,-4.828,20.146,2.269,1.669,10.0,75.0,1.31
"beta[5, 1]",4.682,8.747,-10.279,20.726,3.67,2.741,6.0,19.0,1.81
"beta[5, 2]",-8.638,8.06,-23.051,5.563,2.513,1.83,10.0,37.0,1.32
"beta[5, 3]",-9.82,9.934,-25.356,8.837,3.738,2.761,7.0,27.0,1.6
"beta[5, 4]",-11.986,8.693,-25.674,7.27,2.849,2.081,10.0,52.0,1.36
"beta[5, 5]",16.629,6.385,5.007,25.637,2.494,1.849,7.0,15.0,1.69
"beta[5, 6]",4.404,6.147,-7.432,15.829,1.81,1.354,12.0,16.0,1.25
"beta[5, 7]",-4.835,9.12,-21.114,10.673,2.95,2.153,10.0,62.0,1.3
"beta[5, 8]",5.054,8.645,-9.659,21.242,3.171,2.336,8.0,27.0,1.5
"beta[5, 9]",-0.426,7.146,-13.634,12.972,1.381,0.987,27.0,59.0,1.12
"beta[6, 0]",9.418,9.077,-6.051,27.892,3.105,2.275,9.0,41.0,1.4
"beta[6, 1]",4.321,9.009,-9.784,23.05,3.755,2.803,7.0,42.0,1.7
"beta[6, 2]",-9.592,8.172,-25.167,4.867,2.738,2.003,9.0,63.0,1.45
"beta[6, 3]",-3.541,10.156,-20.219,15.721,4.525,3.406,5.0,12.0,2.09
"beta[6, 4]",-11.892,10.193,-27.087,10.35,4.338,3.246,6.0,34.0,1.7
"beta[6, 5]",9.785,8.324,-6.637,24.039,3.132,2.313,7.0,38.0,1.55
"beta[6, 6]",12.141,5.63,3.123,22.39,1.937,1.42,9.0,56.0,1.43
"beta[6, 7]",-7.396,8.393,-20.455,9.803,2.921,2.143,9.0,70.0,1.39
"beta[6, 8]",5.165,8.271,-9.652,21.024,3.013,2.219,8.0,23.0,1.49
"beta[6, 9]",-3.836,7.464,-16.903,12.092,2.236,1.625,11.0,23.0,1.28
"beta[7, 0]",11.638,8.176,-1.603,26.978,2.206,1.594,14.0,123.0,1.23
"beta[7, 1]",5.1,8.575,-8.932,20.363,3.636,2.72,6.0,19.0,1.82
"beta[7, 2]",-10.924,7.335,-25.882,2.94,2.349,1.714,10.0,72.0,1.34
"beta[7, 3]",-11.508,11.305,-30.482,12.405,4.746,3.546,7.0,14.0,1.68
"beta[7, 4]",-11.868,8.816,-26.517,6.076,3.616,2.694,6.0,31.0,1.69
"beta[7, 5]",10.686,9.083,-7.307,26.512,3.242,2.383,8.0,36.0,1.45
"beta[7, 6]",0.657,7.885,-13.994,15.788,2.658,1.946,9.0,22.0,1.38
"beta[7, 7]",6.301,10.639,-10.932,24.494,4.415,3.294,6.0,38.0,1.68
"beta[7, 8]",6.02,8.757,-8.141,22.886,3.214,2.368,8.0,76.0,1.47
"beta[7, 9]",-1.189,8.473,-17.423,14.369,2.857,2.091,9.0,19.0,1.41
"beta[8, 0]",8.483,8.09,-6.862,21.425,2.504,1.822,10.0,79.0,1.33
"beta[8, 1]",4.35,8.508,-10.299,20.329,3.574,2.67,6.0,23.0,1.8
"beta[8, 2]",-7.609,7.93,-20.865,6.405,2.23,1.615,13.0,238.0,1.23
"beta[8, 3]",-9.634,10.375,-28.653,11.518,3.734,2.747,8.0,21.0,1.48
"beta[8, 4]",-11.541,9.32,-27.608,6.569,3.377,2.485,8.0,36.0,1.51
"beta[8, 5]",8.755,7.241,-4.221,21.629,2.408,1.761,9.0,38.0,1.37
"beta[8, 6]",1.029,8.064,-15.276,14.331,2.542,1.852,10.0,37.0,1.33
"beta[8, 7]",-4.659,8.197,-19.506,8.201,2.754,2.016,10.0,91.0,1.34
"beta[8, 8]",14.076,5.801,3.726,23.523,2.189,1.625,7.0,30.0,1.55
"beta[8, 9]",-1.594,7.658,-13.641,13.085,2.227,1.615,12.0,41.0,1.28
"beta[9, 0]",9.985,7.946,-3.246,24.43,2.424,1.763,11.0,161.0,1.31
"beta[9, 1]",5.265,8.74,-9.463,21.591,3.7,2.767,6.0,31.0,1.81
"beta[9, 2]",-9.52,7.935,-22.695,4.584,2.758,2.023,9.0,140.0,1.41
"beta[9, 3]",-14.563,9.925,-30.212,5.945,4.211,3.149,6.0,26.0,1.87
"beta[9, 4]",-9.358,9.878,-23.335,13.317,4.178,3.124,6.0,29.0,1.8
"beta[9, 5]",10.81,7.702,-2.44,23.95,2.926,2.163,7.0,50.0,1.56
"beta[9, 6]",4.041,6.942,-8.2,18.551,2.364,1.732,9.0,24.0,1.4
"beta[9, 7]",-7.438,9.25,-22.713,9.665,3.407,2.511,8.0,16.0,1.5
"beta[9, 8]",5.631,8.545,-8.988,19.742,3.196,2.359,8.0,30.0,1.49
"beta[9, 9]",9.992,7.012,-1.177,23.26,2.645,1.954,8.0,16.0,1.52
alpha[0],8.221,5.212,0.518,18.484,1.33,1.016,18.0,20.0,1.17
alpha[1],5.34,4.287,0.066,13.63,0.354,0.251,131.0,214.0,1.02
alpha[2],6.693,4.149,0.172,13.923,0.529,0.376,61.0,111.0,1.04
alpha[3],8.525,5.368,0.134,17.879,1.397,1.008,15.0,40.0,1.22
alpha[4],6.048,4.138,0.042,12.248,0.759,0.542,25.0,94.0,1.12
alpha[5],5.065,4.62,0.007,14.246,0.528,0.375,67.0,38.0,1.05
alpha[6],9.601,6.676,0.007,20.29,2.252,1.883,11.0,40.0,1.34
alpha[7],10.926,6.117,1.002,20.695,0.798,0.567,57.0,77.0,1.05
alpha[8],4.697,3.6,0.018,11.33,0.315,0.223,82.0,56.0,1.05
alpha[9],7.626,4.849,0.416,16.081,0.756,0.565,45.0,66.0,1.08
beta_sd[0],6.268,2.036,2.382,9.619,0.557,0.402,13.0,48.0,1.24
beta_sd[1],3.737,1.795,0.677,6.775,0.379,0.271,17.0,12.0,1.17
beta_sd[2],6.032,1.6,3.182,9.041,0.325,0.233,25.0,213.0,1.1
beta_sd[3],6.884,1.679,3.466,9.777,0.338,0.247,27.0,85.0,1.11
beta_sd[4],5.501,2.068,1.717,9.21,0.673,0.491,9.0,58.0,1.36
beta_sd[5],4.99,1.825,1.21,7.948,0.379,0.271,23.0,56.0,1.15
beta_sd[6],6.209,2.043,1.652,9.405,0.654,0.477,10.0,28.0,1.3
beta_sd[7],6.221,2.207,1.822,9.652,0.64,0.464,13.0,18.0,1.25
beta_sd[8],5.692,1.824,2.583,9.359,0.27,0.192,45.0,121.0,1.08
beta_sd[9],6.503,1.738,3.372,9.834,0.228,0.162,58.0,203.0,1.06
"p[0, 0]",0.0,0.007,0.0,0.0,0.0,0.0,131.0,217.0,1.04
"p[0, 1]",0.0,0.004,0.0,0.0,0.0,0.0,101.0,383.0,1.06
"p[0, 2]",0.002,0.017,0.0,0.0,0.001,0.0,104.0,129.0,1.04
"p[0, 3]",0.0,0.001,0.0,0.0,0.0,0.0,19.0,164.0,1.15
"p[0, 4]",0.003,0.03,0.0,0.001,0.001,0.001,163.0,258.0,1.03
"p[0, 5]",0.001,0.014,0.0,0.0,0.0,0.0,114.0,268.0,1.05
"p[0, 6]",0.004,0.033,0.0,0.003,0.001,0.001,57.0,205.0,1.07
"p[0, 7]",0.001,0.013,0.0,0.0,0.0,0.0,94.0,79.0,1.05
"p[0, 8]",0.001,0.013,0.0,0.0,0.0,0.0,104.0,219.0,1.03
"p[0, 9]",0.986,0.054,0.938,1.0,0.002,0.001,117.0,250.0,1.04
"p[1, 0]",0.002,0.022,0.0,0.0,0.001,0.001,46.0,188.0,1.09
"p[1, 1]",0.001,0.011,0.0,0.0,0.0,0.0,68.0,265.0,1.06
"p[1, 2]",0.003,0.039,0.0,0.0,0.002,0.001,50.0,152.0,1.08
"p[1, 3]",0.983,0.079,0.95,1.0,0.003,0.002,131.0,213.0,1.06
"p[1, 4]",0.0,0.0,0.0,0.0,0.0,0.0,20.0,144.0,1.16
"p[1, 5]",0.001,0.009,0.0,0.0,0.0,0.0,116.0,211.0,1.03
"p[1, 6]",0.0,0.0,0.0,0.0,0.0,0.0,16.0,72.0,1.23
"p[1, 7]",0.005,0.048,0.0,0.001,0.002,0.001,61.0,203.0,1.06
"p[1, 8]",0.002,0.028,0.0,0.0,0.001,0.001,60.0,201.0,1.06
"p[1, 9]",0.004,0.032,0.0,0.006,0.001,0.001,66.0,279.0,1.06
"p[2, 0]",0.007,0.064,0.0,0.001,0.003,0.002,41.0,156.0,1.09
"p[2, 1]",0.006,0.054,0.0,0.0,0.002,0.001,38.0,73.0,1.08
"p[2, 2]",0.001,0.022,0.0,0.0,0.001,0.001,18.0,138.0,1.18
"p[2, 3]",0.001,0.01,0.0,0.0,0.0,0.0,15.0,104.0,1.2
"p[2, 4]",0.001,0.026,0.0,0.0,0.001,0.001,14.0,126.0,1.21
"p[2, 5]",0.966,0.124,0.823,1.0,0.005,0.004,162.0,537.0,1.02
"p[2, 6]",0.008,0.062,0.0,0.004,0.002,0.002,27.0,137.0,1.11
"p[2, 7]",0.002,0.031,0.0,0.0,0.001,0.001,74.0,246.0,1.03
"p[2, 8]",0.006,0.04,0.0,0.001,0.002,0.002,23.0,94.0,1.15
"p[2, 9]",0.002,0.034,0.0,0.0,0.001,0.001,80.0,187.0,1.05
"p[3, 0]",0.977,0.108,0.934,1.0,0.004,0.003,260.0,878.0,1.02
"p[3, 1]",0.002,0.038,0.0,0.0,0.001,0.001,16.0,128.0,1.19
"p[3, 2]",0.0,0.007,0.0,0.0,0.0,0.0,24.0,214.0,1.13
"p[3, 3]",0.0,0.003,0.0,0.0,0.0,0.0,76.0,121.0,1.05
"p[3, 4]",0.0,0.009,0.0,0.0,0.0,0.0,18.0,192.0,1.18
"p[3, 5]",0.005,0.042,0.0,0.0,0.001,0.001,61.0,104.0,1.05
"p[3, 6]",0.006,0.061,0.0,0.0,0.002,0.002,36.0,220.0,1.09
"p[3, 7]",0.001,0.019,0.0,0.0,0.001,0.0,45.0,334.0,1.07
"p[3, 8]",0.005,0.052,0.0,0.0,0.002,0.001,40.0,196.0,1.07
"p[3, 9]",0.003,0.04,0.0,0.0,0.001,0.001,88.0,350.0,1.05
"p[4, 0]",0.995,0.028,0.986,1.0,0.001,0.001,52.0,581.0,1.07
"p[4, 1]",0.001,0.01,0.0,0.0,0.0,0.0,20.0,69.0,1.15
"p[4, 2]",0.0,0.007,0.0,0.0,0.0,0.0,118.0,291.0,1.04
"p[4, 3]",0.001,0.011,0.0,0.0,0.0,0.0,39.0,190.0,1.11
"p[4, 4]",0.0,0.0,0.0,0.0,0.0,0.0,32.0,57.0,1.1
"p[4, 5]",0.001,0.016,0.0,0.0,0.001,0.001,47.0,254.0,1.08
"p[4, 6]",0.001,0.007,0.0,0.0,0.0,0.0,107.0,100.0,1.03
"p[4, 7]",0.001,0.008,0.0,0.0,0.0,0.0,30.0,141.0,1.09
"p[4, 8]",0.0,0.006,0.0,0.0,0.0,0.0,98.0,148.0,1.03
"p[4, 9]",0.001,0.006,0.0,0.0,0.0,0.0,29.0,128.0,1.11
"p[5, 0]",0.002,0.018,0.0,0.001,0.001,0.0,120.0,219.0,1.05
"p[5, 1]",0.001,0.011,0.0,0.0,0.0,0.0,136.0,155.0,1.03
"p[5, 2]",0.98,0.056,0.895,1.0,0.002,0.001,230.0,496.0,1.01
"p[5, 3]",0.002,0.014,0.0,0.001,0.0,0.0,51.0,109.0,1.07
"p[5, 4]",0.0,0.001,0.0,0.0,0.0,0.0,111.0,150.0,1.01
"p[5, 5]",0.002,0.021,0.0,0.001,0.001,0.0,134.0,239.0,1.04
"p[5, 6]",0.002,0.012,0.0,0.001,0.001,0.0,92.0,131.0,1.04
"p[5, 7]",0.005,0.029,0.0,0.012,0.001,0.001,54.0,216.0,1.07
"p[5, 8]",0.003,0.019,0.0,0.001,0.001,0.0,154.0,218.0,1.04
"p[5, 9]",0.003,0.026,0.0,0.001,0.001,0.001,90.0,172.0,1.05
"p[6, 0]",0.006,0.051,0.0,0.003,0.002,0.001,75.0,89.0,1.06
"p[6, 1]",0.003,0.038,0.0,0.0,0.001,0.001,15.0,133.0,1.21
"p[6, 2]",0.002,0.028,0.0,0.0,0.001,0.001,18.0,150.0,1.17
"p[6, 3]",0.003,0.032,0.0,0.0,0.001,0.001,23.0,140.0,1.15
"p[6, 4]",0.002,0.024,0.0,0.0,0.001,0.001,14.0,131.0,1.25
"p[6, 5]",0.011,0.075,0.0,0.003,0.003,0.002,61.0,192.0,1.07
"p[6, 6]",0.006,0.055,0.0,0.0,0.002,0.002,22.0,159.0,1.13
"p[6, 7]",0.002,0.022,0.0,0.0,0.001,0.0,77.0,219.0,1.06
"p[6, 8]",0.96,0.137,0.753,1.0,0.006,0.004,81.0,849.0,1.07
"p[6, 9]",0.006,0.06,0.0,0.0,0.002,0.001,119.0,267.0,1.03
"p[7, 0]",0.001,0.021,0.0,0.0,0.001,0.001,34.0,80.0,1.11
"p[7, 1]",0.001,0.016,0.0,0.0,0.001,0.0,66.0,170.0,1.05
"p[7, 2]",0.001,0.013,0.0,0.0,0.0,0.0,81.0,116.0,1.03
"p[7, 3]",0.862,0.236,0.306,1.0,0.01,0.007,85.0,372.0,1.05
"p[7, 4]",0.0,0.008,0.0,0.0,0.0,0.0,50.0,127.0,1.07
"p[7, 5]",0.001,0.016,0.0,0.0,0.001,0.0,83.0,250.0,1.04
"p[7, 6]",0.124,0.224,0.0,0.66,0.01,0.007,91.0,260.0,1.05
"p[7, 7]",0.002,0.023,0.0,0.0,0.001,0.001,27.0,185.0,1.15
"p[7, 8]",0.006,0.055,0.0,0.0,0.002,0.002,84.0,176.0,1.04
"p[7, 9]",0.001,0.014,0.0,0.0,0.001,0.0,44.0,86.0,1.08
"p[8, 0]",0.001,0.015,0.0,0.0,0.0,0.0,22.0,55.0,1.14
"p[8, 1]",0.0,0.0,0.0,0.0,0.0,0.0,24.0,137.0,1.13
"p[8, 2]",0.0,0.0,0.0,0.0,0.0,0.0,30.0,115.0,1.09
"p[8, 3]",0.001,0.012,0.0,0.0,0.0,0.0,20.0,78.0,1.14
"p[8, 4]",0.002,0.011,0.0,0.0,0.001,0.001,16.0,56.0,1.18
"p[8, 5]",0.0,0.0,0.0,0.0,0.0,0.0,80.0,137.0,1.05
"p[8, 6]",0.0,0.003,0.0,0.0,0.0,0.0,47.0,82.0,1.08
"p[8, 7]",0.996,0.025,0.987,1.0,0.001,0.001,21.0,183.0,1.13
"p[8, 8]",0.0,0.0,0.0,0.0,0.0,0.0,44.0,189.0,1.08
"p[8, 9]",0.001,0.012,0.0,0.0,0.0,0.0,57.0,113.0,1.06
"p[9, 0]",0.002,0.019,0.0,0.0,0.001,0.0,134.0,216.0,1.04
"p[9, 1]",0.001,0.007,0.0,0.0,0.0,0.0,107.0,366.0,1.05
"p[9, 2]",0.001,0.013,0.0,0.0,0.001,0.0,103.0,131.0,1.04
"p[9, 3]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,157.0,1.15
"p[9, 4]",0.002,0.017,0.0,0.001,0.001,0.0,162.0,230.0,1.02
"p[9, 5]",0.002,0.022,0.0,0.0,0.001,0.001,126.0,278.0,1.04
"p[9, 6]",0.006,0.038,0.0,0.005,0.001,0.001,54.0,207.0,1.07
"p[9, 7]",0.001,0.01,0.0,0.0,0.0,0.0,90.0,65.0,1.05
"p[9, 8]",0.001,0.014,0.0,0.0,0.0,0.0,105.0,225.0,1.03
"p[9, 9]",0.985,0.058,0.933,1.0,0.002,0.001,128.0,216.0,1.03
"p[10, 0]",0.0,0.001,0.0,0.0,0.0,0.0,69.0,230.0,1.05
"p[10, 1]",0.0,0.004,0.0,0.0,0.0,0.0,12.0,61.0,1.27
"p[10, 2]",0.002,0.013,0.0,0.009,0.0,0.0,179.0,225.0,1.0
"p[10, 3]",0.001,0.014,0.0,0.001,0.0,0.0,42.0,126.0,1.09
"p[10, 4]",0.994,0.024,0.971,1.0,0.001,0.001,231.0,298.0,1.02
"p[10, 5]",0.0,0.003,0.0,0.0,0.0,0.0,27.0,53.0,1.1
"p[10, 6]",0.001,0.006,0.0,0.0,0.0,0.0,86.0,234.0,1.06
"p[10, 7]",0.001,0.011,0.0,0.0,0.0,0.0,45.0,186.0,1.07
"p[10, 8]",0.0,0.003,0.0,0.0,0.0,0.0,17.0,62.0,1.18
"p[10, 9]",0.0,0.001,0.0,0.0,0.0,0.0,82.0,268.0,1.06
"p[11, 0]",0.0,0.008,0.0,0.0,0.0,0.0,22.0,61.0,1.13
"p[11, 1]",0.0,0.0,0.0,0.0,0.0,0.0,26.0,142.0,1.13
"p[11, 2]",0.0,0.0,0.0,0.0,0.0,0.0,33.0,111.0,1.09
"p[11, 3]",0.005,0.042,0.0,0.0,0.002,0.001,22.0,69.0,1.12
"p[11, 4]",0.001,0.006,0.0,0.0,0.0,0.0,16.0,50.0,1.18
"p[11, 5]",0.0,0.0,0.0,0.0,0.0,0.0,83.0,119.0,1.04
"p[11, 6]",0.0,0.001,0.0,0.0,0.0,0.0,39.0,70.0,1.08
"p[11, 7]",0.993,0.044,0.986,1.0,0.002,0.001,22.0,332.0,1.12
"p[11, 8]",0.0,0.0,0.0,0.0,0.0,0.0,45.0,182.0,1.07
"p[11, 9]",0.0,0.008,0.0,0.0,0.0,0.0,58.0,116.0,1.06
"p[12, 0]",0.001,0.012,0.0,0.0,0.0,0.0,21.0,60.0,1.14
"p[12, 1]",0.0,0.0,0.0,0.0,0.0,0.0,24.0,142.0,1.13
"p[12, 2]",0.0,0.0,0.0,0.0,0.0,0.0,31.0,120.0,1.09
"p[12, 3]",0.001,0.006,0.0,0.0,0.0,0.0,21.0,73.0,1.13
"p[12, 4]",0.001,0.004,0.0,0.0,0.0,0.0,17.0,56.0,1.17
"p[12, 5]",0.0,0.0,0.0,0.0,0.0,0.0,81.0,161.0,1.05
"p[12, 6]",0.0,0.002,0.0,0.0,0.0,0.0,42.0,71.0,1.08
"p[12, 7]",0.998,0.016,0.994,1.0,0.001,0.0,21.0,404.0,1.13
"p[12, 8]",0.0,0.0,0.0,0.0,0.0,0.0,44.0,192.0,1.08
"p[12, 9]",0.0,0.008,0.0,0.0,0.0,0.0,57.0,101.0,1.06
"p[13, 0]",0.002,0.018,0.0,0.001,0.001,0.0,120.0,219.0,1.05
"p[13, 1]",0.001,0.011,0.0,0.0,0.0,0.0,136.0,155.0,1.03
"p[13, 2]",0.98,0.056,0.895,1.0,0.002,0.001,230.0,496.0,1.01
"p[13, 3]",0.002,0.014,0.0,0.001,0.0,0.0,51.0,109.0,1.07
"p[13, 4]",0.0,0.001,0.0,0.0,0.0,0.0,111.0,150.0,1.01
"p[13, 5]",0.002,0.021,0.0,0.001,0.001,0.0,134.0,239.0,1.04
"p[13, 6]",0.002,0.012,0.0,0.001,0.001,0.0,92.0,131.0,1.04
"p[13, 7]",0.005,0.029,0.0,0.012,0.001,0.001,54.0,216.0,1.07
"p[13, 8]",0.003,0.019,0.0,0.001,0.001,0.0,154.0,218.0,1.04
"p[13, 9]",0.003,0.026,0.0,0.001,0.001,0.001,90.0,172.0,1.05
"p[14, 0]",0.001,0.008,0.0,0.0,0.0,0.0,40.0,152.0,1.1
"p[14, 1]",0.0,0.002,0.0,0.0,0.0,0.0,50.0,161.0,1.07
"p[14, 2]",0.001,0.015,0.0,0.0,0.001,0.0,43.0,178.0,1.08
"p[14, 3]",0.994,0.029,0.976,1.0,0.001,0.001,74.0,730.0,1.07
"p[14, 4]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,132.0,1.16
"p[14, 5]",0.001,0.009,0.0,0.0,0.0,0.0,112.0,232.0,1.04
"p[14, 6]",0.0,0.0,0.0,0.0,0.0,0.0,16.0,73.0,1.23
"p[14, 7]",0.001,0.008,0.0,0.0,0.0,0.0,58.0,144.0,1.06
"p[14, 8]",0.001,0.015,0.0,0.0,0.0,0.0,76.0,217.0,1.05
"p[14, 9]",0.002,0.011,0.0,0.003,0.0,0.0,54.0,290.0,1.07
"p[15, 0]",0.992,0.048,0.985,1.0,0.002,0.002,38.0,502.0,1.09
"p[15, 1]",0.002,0.031,0.0,0.0,0.002,0.001,17.0,52.0,1.17
"p[15, 2]",0.0,0.003,0.0,0.0,0.0,0.0,106.0,298.0,1.05
"p[15, 3]",0.0,0.004,0.0,0.0,0.0,0.0,37.0,123.0,1.11
"p[15, 4]",0.0,0.0,0.0,0.0,0.0,0.0,27.0,92.0,1.12
"p[15, 5]",0.003,0.026,0.0,0.0,0.001,0.001,33.0,87.0,1.1
"p[15, 6]",0.001,0.007,0.0,0.0,0.0,0.0,85.0,113.0,1.04
"p[15, 7]",0.0,0.0,0.0,0.0,0.0,0.0,28.0,152.0,1.1
"p[15, 8]",0.001,0.01,0.0,0.0,0.0,0.0,87.0,142.0,1.04
"p[15, 9]",0.001,0.019,0.0,0.0,0.001,0.001,29.0,141.0,1.11
"p[16, 0]",0.008,0.054,0.0,0.006,0.002,0.001,34.0,126.0,1.1
"p[16, 1]",0.003,0.03,0.0,0.0,0.001,0.001,111.0,112.0,1.04
"p[16, 2]",0.001,0.015,0.0,0.0,0.0,0.0,33.0,250.0,1.09
"p[16, 3]",0.004,0.028,0.0,0.003,0.001,0.001,26.0,154.0,1.12
"p[16, 4]",0.0,0.005,0.0,0.0,0.0,0.0,25.0,77.0,1.12
"p[16, 5]",0.03,0.115,0.0,0.149,0.005,0.003,178.0,277.0,1.03
"p[16, 6]",0.946,0.149,0.665,1.0,0.006,0.004,146.0,396.0,1.03
"p[16, 7]",0.001,0.022,0.0,0.0,0.001,0.0,95.0,255.0,1.06
"p[16, 8]",0.006,0.052,0.0,0.0,0.002,0.002,65.0,265.0,1.06
"p[16, 9]",0.001,0.027,0.0,0.0,0.001,0.001,72.0,202.0,1.06
"p[17, 0]",0.0,0.001,0.0,0.0,0.0,0.0,69.0,230.0,1.05
"p[17, 1]",0.0,0.004,0.0,0.0,0.0,0.0,12.0,61.0,1.27
"p[17, 2]",0.002,0.013,0.0,0.009,0.0,0.0,179.0,225.0,1.0
"p[17, 3]",0.001,0.014,0.0,0.001,0.0,0.0,42.0,126.0,1.09
