,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
betas[0],0.046,0.05,-0.048,0.135,0.004,0.003,223.0,986.0,1.02
betas[1],0.05,0.05,-0.038,0.145,0.004,0.003,132.0,414.0,1.04
betas[2],0.054,0.05,-0.037,0.144,0.005,0.004,132.0,151.0,1.04
betas[3],0.047,0.052,-0.041,0.143,0.005,0.003,119.0,562.0,1.03
betas[4],0.046,0.049,-0.046,0.133,0.003,0.002,305.0,6176.0,1.02
betas[5],0.051,0.049,-0.04,0.14,0.004,0.003,145.0,625.0,1.03
betas[6],0.037,0.048,-0.051,0.127,0.003,0.002,222.0,4862.0,1.02
betas[7],0.042,0.051,-0.073,0.131,0.004,0.003,171.0,43.0,1.02
betas[8],0.043,0.05,-0.044,0.139,0.003,0.003,270.0,589.0,1.02
betas[9],0.048,0.049,-0.048,0.132,0.003,0.002,278.0,7037.0,1.02
betas[10],0.033,0.051,-0.06,0.122,0.005,0.003,111.0,299.0,1.04
betas[11],0.042,0.051,-0.051,0.133,0.003,0.002,343.0,1420.0,1.01
betas[12],0.035,0.049,-0.053,0.129,0.004,0.003,164.0,2313.0,1.02
betas[13],0.04,0.048,-0.054,0.125,0.002,0.001,646.0,6365.0,1.01
betas[14],0.042,0.05,-0.047,0.13,0.005,0.004,107.0,1208.0,1.03
betas[15],0.044,0.049,-0.053,0.124,0.003,0.002,255.0,2399.0,1.02
betas[16],0.035,0.049,-0.054,0.127,0.003,0.002,316.0,452.0,1.02
betas[17],0.045,0.053,-0.048,0.143,0.005,0.004,117.0,61.0,1.03
betas[18],0.043,0.05,-0.046,0.138,0.003,0.002,318.0,321.0,1.01
betas[19],0.034,0.047,-0.058,0.12,0.002,0.001,635.0,5397.0,1.01
betas[20],0.04,0.047,-0.05,0.128,0.001,0.001,1234.0,2385.0,1.01
betas[21],0.031,0.047,-0.062,0.121,0.002,0.001,541.0,1148.0,1.02
betas[22],0.031,0.05,-0.055,0.128,0.004,0.004,163.0,262.0,1.02
betas[23],0.024,0.048,-0.063,0.113,0.003,0.002,250.0,8416.0,1.02
betas[24],0.034,0.047,-0.058,0.126,0.001,0.001,875.0,3485.0,1.01
betas[25],0.024,0.046,-0.062,0.114,0.001,0.001,1275.0,6952.0,1.03
betas[26],0.03,0.051,-0.068,0.114,0.006,0.004,85.0,83.0,1.04
betas[27],0.033,0.052,-0.055,0.127,0.005,0.004,92.0,111.0,1.03
betas[28],0.027,0.053,-0.061,0.142,0.008,0.007,60.0,24.0,1.06
betas[29],0.02,0.052,-0.092,0.104,0.006,0.004,86.0,36.0,1.05
betas[30],0.025,0.053,-0.091,0.105,0.006,0.004,89.0,47.0,1.03
betas[31],0.026,0.055,-0.054,0.137,0.008,0.005,54.0,57.0,1.06
betas[32],0.034,0.046,-0.049,0.127,0.001,0.001,1581.0,8391.0,1.02
betas[33],0.025,0.047,-0.07,0.104,0.002,0.002,453.0,2506.0,1.02
