,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],1.202,5.242,-8.445,9.204,1.896,1.396,8.0,48.0,1.51
beta_mu[1],-3.154,3.38,-9.657,2.508,0.901,0.651,14.0,57.0,1.23
beta_mu[2],-2.787,5.594,-12.233,7.913,2.271,1.69,6.0,19.0,1.69
beta_mu[3],3.325,4.113,-4.401,9.984,1.275,0.928,10.0,36.0,1.3
beta_mu[4],4.676,3.101,-0.753,9.99,1.163,0.859,7.0,32.0,1.56
beta_mu[5],-4.355,6.191,-15.608,4.881,2.9,2.198,5.0,21.0,2.18
beta_mu[6],1.035,7.064,-9.412,17.295,3.263,2.468,5.0,13.0,2.08
beta_mu[7],-1.038,4.121,-9.89,5.435,0.961,0.793,17.0,22.0,1.2
beta_mu[8],0.554,2.718,-4.777,4.589,1.183,0.888,6.0,23.0,1.7
beta_mu[9],0.463,5.28,-8.254,12.922,2.316,1.74,6.0,13.0,1.88
"beta[0, 0]",1.524,5.613,-8.752,11.435,1.829,1.336,9.0,71.0,1.37
"beta[0, 1]",3.703,3.788,-3.604,10.948,0.802,0.574,22.0,23.0,1.14
"beta[0, 2]",-4.524,6.724,-15.477,9.574,2.392,1.758,8.0,32.0,1.48
"beta[0, 3]",3.241,5.281,-6.798,12.626,1.284,0.924,17.0,59.0,1.17
"beta[0, 4]",5.873,3.768,-0.512,12.754,1.414,1.044,7.0,31.0,1.56
"beta[0, 5]",-7.35,7.157,-20.936,4.459,3.065,2.315,6.0,43.0,1.71
"beta[0, 6]",3.202,8.425,-7.304,23.782,3.999,3.037,5.0,12.0,2.07
"beta[0, 7]",-0.945,4.824,-10.388,6.691,0.914,0.653,26.0,46.0,1.13
"beta[0, 8]",-1.44,3.634,-7.966,3.807,1.195,0.873,11.0,32.0,1.3
"beta[0, 9]",2.817,5.792,-6.183,16.29,2.557,1.922,5.0,13.0,2.03
"beta[1, 0]",1.443,5.415,-8.627,10.832,1.733,1.264,10.0,65.0,1.33
"beta[1, 1]",-4.6,4.596,-12.981,3.874,0.815,0.582,33.0,233.0,1.1
"beta[1, 2]",3.925,5.01,-4.025,13.241,1.971,1.57,7.0,13.0,1.53
"beta[1, 3]",1.869,5.067,-8.082,10.237,1.348,0.974,14.0,43.0,1.2
"beta[1, 4]",6.437,3.392,0.478,12.623,1.251,0.922,7.0,32.0,1.54
"beta[1, 5]",0.247,5.669,-8.593,10.836,2.519,1.896,5.0,26.0,2.08
"beta[1, 6]",-3.539,6.654,-15.535,10.459,2.676,1.99,6.0,25.0,1.69
"beta[1, 7]",-0.943,4.737,-10.283,7.134,1.026,0.736,20.0,38.0,1.14
"beta[1, 8]",-0.578,3.18,-6.556,4.28,1.188,0.877,8.0,33.0,1.43
"beta[1, 9]",-0.794,5.432,-10.422,10.554,2.089,1.546,7.0,15.0,1.6
"beta[2, 0]",0.659,5.125,-7.866,9.928,1.669,1.219,9.0,85.0,1.36
"beta[2, 1]",-4.115,4.654,-12.364,4.197,0.608,0.432,58.0,246.0,1.07
"beta[2, 2]",-4.571,6.251,-14.886,7.961,2.012,1.468,9.0,23.0,1.36
"beta[2, 3]",6.974,3.193,0.709,12.653,1.134,0.833,8.0,22.0,1.47
"beta[2, 4]",5.532,2.863,-0.033,10.269,1.111,0.823,7.0,25.0,1.62
"beta[2, 5]",-7.347,6.933,-20.105,5.14,2.569,1.895,8.0,28.0,1.52
"beta[2, 6]",-1.91,6.021,-12.164,10.472,2.267,1.675,8.0,15.0,1.45
"beta[2, 7]",-1.007,4.457,-9.895,6.464,0.912,0.69,24.0,30.0,1.13
"beta[2, 8]",0.397,2.899,-5.452,4.974,1.128,0.836,7.0,30.0,1.53
"beta[2, 9]",-1.575,5.779,-13.12,9.354,1.96,1.435,9.0,13.0,1.41
"beta[3, 0]",0.637,5.013,-8.63,9.017,1.671,1.222,9.0,57.0,1.41
"beta[3, 1]",-5.521,4.433,-14.549,1.581,0.854,0.611,26.0,190.0,1.13
"beta[3, 2]",-2.959,3.964,-9.667,5.891,1.364,1.0,9.0,24.0,1.41
"beta[3, 3]",-0.435,5.298,-9.68,8.207,1.265,0.91,17.0,79.0,1.15
"beta[3, 4]",4.67,2.469,-0.321,8.432,0.932,0.689,8.0,14.0,1.51
"beta[3, 5]",-0.96,3.817,-8.033,4.555,1.748,1.32,5.0,21.0,2.24
"beta[3, 6]",3.345,4.763,-2.826,13.469,2.244,1.703,5.0,12.0,2.21
"beta[3, 7]",-1.067,3.996,-8.98,5.819,0.754,0.607,27.0,23.0,1.11
"beta[3, 8]",1.141,2.313,-3.959,4.424,0.96,0.716,7.0,21.0,1.58
"beta[3, 9]",2.836,3.631,-3.36,10.161,1.63,1.228,5.0,17.0,2.09
"beta[4, 0]",1.319,5.862,-10.51,10.995,2.044,1.5,8.0,47.0,1.46
"beta[4, 1]",-9.748,4.521,-17.365,-1.39,0.897,0.642,26.0,180.0,1.14
"beta[4, 2]",-2.25,6.558,-13.984,10.671,2.636,1.96,6.0,17.0,1.71
"beta[4, 3]",2.73,5.107,-6.418,12.3,1.442,1.045,12.0,40.0,1.24
"beta[4, 4]",4.065,3.99,-2.36,11.867,1.308,0.955,9.0,36.0,1.35
"beta[4, 5]",-2.488,7.642,-17.283,8.293,3.683,2.805,5.0,13.0,2.66
"beta[4, 6]",0.167,8.821,-11.803,19.608,4.187,3.181,5.0,14.0,2.16
"beta[4, 7]",-1.199,4.752,-11.213,6.463,1.071,0.769,20.0,44.0,1.14
"beta[4, 8]",1.436,3.141,-4.465,7.046,1.425,1.075,5.0,13.0,1.97
"beta[4, 9]",1.572,6.635,-9.387,17.627,3.002,2.264,5.0,14.0,2.11
"beta[5, 0]",1.299,5.768,-9.834,10.657,1.837,1.34,10.0,57.0,1.35
"beta[5, 1]",0.782,2.92,-4.797,6.24,0.733,0.528,15.0,48.0,1.23
"beta[5, 2]",-3.321,6.225,-14.653,9.292,2.429,1.8,7.0,23.0,1.64
"beta[5, 3]",5.115,4.524,-3.999,12.321,1.261,0.913,13.0,49.0,1.25
"beta[5, 4]",0.983,3.82,-5.424,8.064,0.733,0.524,28.0,137.0,1.09
"beta[5, 5]",-2.43,7.076,-16.19,7.591,3.35,2.544,5.0,15.0,2.42
"beta[5, 6]",4.829,8.603,-6.75,23.257,4.149,3.16,5.0,12.0,2.53
"beta[5, 7]",-0.973,4.784,-9.908,8.394,1.105,0.794,18.0,35.0,1.17
"beta[5, 8]",1.196,3.17,-5.344,5.658,1.434,1.081,5.0,23.0,2.0
"beta[5, 9]",-3.572,6.169,-15.182,9.924,2.378,1.76,7.0,16.0,1.55
"beta[6, 0]",1.158,6.295,-11.42,11.365,2.041,1.49,10.0,54.0,1.34
"beta[6, 1]",-3.059,6.23,-14.303,9.729,0.616,0.437,103.0,509.0,1.04
"beta[6, 2]",-2.982,7.29,-15.783,12.078,2.246,1.634,10.0,32.0,1.31
"beta[6, 3]",3.547,6.293,-8.883,15.364,1.303,0.933,22.0,82.0,1.12
"beta[6, 4]",4.565,4.623,-4.693,12.957,1.28,0.926,13.0,91.0,1.23
"beta[6, 5]",-4.525,8.002,-20.046,9.614,2.777,2.037,9.0,48.0,1.41
"beta[6, 6]",0.951,8.465,-12.53,20.05,3.305,2.45,8.0,14.0,1.49
"beta[6, 7]",-0.984,5.112,-11.347,7.564,0.941,0.693,29.0,40.0,1.12
"beta[6, 8]",0.526,3.714,-6.44,6.786,1.27,0.93,9.0,44.0,1.38
"beta[6, 9]",0.562,7.153,-10.805,17.394,2.243,1.634,11.0,22.0,1.28
"beta[7, 0]",1.136,6.097,-10.624,11.111,2.054,1.503,9.0,67.0,1.41
"beta[7, 1]",-2.476,3.692,-9.795,3.471,1.036,0.787,15.0,110.0,1.22
"beta[7, 2]",-6.878,7.841,-20.34,9.119,3.134,2.328,6.0,28.0,1.71
"beta[7, 3]",3.453,5.197,-6.348,12.765,1.363,0.984,14.0,50.0,1.21
"beta[7, 4]",5.117,4.337,-2.526,13.454,1.465,1.073,9.0,25.0,1.4
"beta[7, 5]",-7.16,8.509,-22.573,5.522,4.089,3.112,5.0,18.0,2.45
"beta[7, 6]",1.399,9.972,-13.749,22.018,4.724,3.587,5.0,14.0,2.11
"beta[7, 7]",-1.425,4.96,-12.088,6.396,1.019,0.784,24.0,36.0,1.16
"beta[7, 8]",1.362,3.285,-4.566,7.596,1.407,1.053,6.0,43.0,1.88
"beta[7, 9]",-2.248,6.513,-13.819,12.053,2.76,2.064,6.0,14.0,1.82
"beta[8, 0]",0.983,5.83,-9.895,10.764,1.965,1.438,9.0,56.0,1.41
"beta[8, 1]",-4.888,3.651,-12.066,1.034,0.956,0.69,15.0,166.0,1.2
"beta[8, 2]",-1.752,6.131,-11.789,10.366,2.559,1.91,6.0,20.0,1.79
"beta[8, 3]",3.613,4.791,-5.997,11.138,1.301,0.94,14.0,43.0,1.21
"beta[8, 4]",5.205,3.693,-1.605,11.655,1.413,1.045,7.0,15.0,1.66
"beta[8, 5]",-8.476,7.179,-21.404,3.674,3.172,2.46,6.0,45.0,1.84
"beta[8, 6]",1.653,8.245,-10.462,18.478,3.918,2.977,5.0,14.0,2.23
"beta[8, 7]",-1.462,4.607,-10.283,6.7,0.915,0.706,25.0,37.0,1.16
"beta[8, 8]",0.673,3.171,-5.634,5.439,1.431,1.079,6.0,26.0,1.84
"beta[8, 9]",2.59,6.179,-7.629,15.867,2.859,2.163,5.0,18.0,2.3
"beta[9, 0]",1.126,6.377,-12.559,10.666,2.009,1.464,10.0,90.0,1.33
"beta[9, 1]",-3.209,6.651,-16.22,9.411,0.86,0.611,57.0,415.0,1.06
"beta[9, 2]",-2.804,7.274,-17.22,10.872,2.22,1.614,11.0,36.0,1.3
"beta[9, 3]",3.261,6.63,-8.578,15.599,1.496,1.074,18.0,95.0,1.16
"beta[9, 4]",4.901,4.668,-3.323,13.966,1.394,1.013,11.0,103.0,1.28
"beta[9, 5]",-4.416,8.536,-20.972,11.382,3.177,2.344,7.0,21.0,1.5
"beta[9, 6]",0.887,8.837,-13.308,20.463,3.354,2.479,8.0,16.0,1.46
"beta[9, 7]",-0.828,5.193,-10.666,9.214,0.996,0.712,25.0,50.0,1.13
"beta[9, 8]",0.7,3.743,-6.853,6.608,1.199,0.874,10.0,53.0,1.33
"beta[9, 9]",0.42,7.394,-12.431,15.374,2.502,1.832,9.0,22.0,1.36
alpha[0],2.56,2.126,0.002,6.226,0.123,0.087,295.0,553.0,1.01
alpha[1],3.85,2.949,0.01,9.549,0.632,0.453,24.0,25.0,1.13
alpha[2],6.559,2.654,1.341,10.957,0.424,0.31,39.0,64.0,1.07
alpha[3],3.384,2.794,0.015,8.694,0.494,0.353,34.0,77.0,1.1
alpha[4],9.694,2.31,5.425,13.68,0.316,0.225,56.0,74.0,1.05
alpha[5],7.82,3.034,0.515,11.829,0.918,0.668,12.0,38.0,1.29
alpha[6],9.362,2.284,4.781,13.325,0.358,0.261,40.0,31.0,1.07
alpha[7],2.486,2.008,0.002,6.21,0.105,0.074,306.0,636.0,1.01
alpha[8],12.209,1.711,9.184,15.33,0.27,0.194,41.0,62.0,1.11
alpha[9],6.585,3.265,0.466,12.091,0.835,0.675,16.0,27.0,1.19
beta_sd[0],2.863,1.632,0.465,5.969,0.166,0.118,89.0,120.0,1.02
beta_sd[1],5.465,1.526,2.628,8.232,0.19,0.135,63.0,195.0,1.04
beta_sd[2],4.467,1.626,1.085,7.363,0.304,0.217,29.0,62.0,1.1
beta_sd[3],3.993,2.033,0.417,7.158,0.493,0.355,16.0,31.0,1.18
beta_sd[4],2.986,1.538,0.327,5.624,0.235,0.167,43.0,122.0,1.07
beta_sd[5],4.864,1.89,1.257,8.292,0.467,0.336,16.0,38.0,1.17
beta_sd[6],4.33,1.998,1.16,8.224,0.557,0.403,14.0,48.0,1.21
beta_sd[7],2.683,1.639,0.321,5.487,0.292,0.209,25.0,24.0,1.11
beta_sd[8],2.05,1.49,0.188,4.685,0.273,0.195,28.0,26.0,1.11
beta_sd[9],4.333,1.917,0.29,7.489,0.532,0.385,13.0,27.0,1.23
"p[0, 0]",0.003,0.03,0.0,0.002,0.001,0.001,150.0,322.0,1.03
"p[0, 1]",0.008,0.048,0.0,0.019,0.002,0.001,142.0,362.0,1.02
"p[0, 2]",0.568,0.313,0.056,1.0,0.01,0.007,928.0,1314.0,1.01
"p[0, 3]",0.008,0.048,0.0,0.016,0.001,0.001,87.0,127.0,1.04
"p[0, 4]",0.014,0.052,0.0,0.052,0.002,0.002,75.0,77.0,1.04
