,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[0, 5]",0.371,0.298,0.0,0.895,0.011,0.008,624.0,925.0,1.01
"p[0, 6]",0.008,0.041,0.0,0.028,0.002,0.001,58.0,135.0,1.09
"p[0, 7]",0.002,0.017,0.0,0.001,0.0,0.0,83.0,302.0,1.05
"p[0, 8]",0.017,0.054,0.0,0.072,0.003,0.002,165.0,357.0,1.03
"p[0, 9]",0.001,0.007,0.0,0.001,0.0,0.0,23.0,67.0,1.14
"p[1, 0]",0.001,0.013,0.0,0.0,0.0,0.0,149.0,276.0,1.03
"p[1, 1]",0.98,0.054,0.897,1.0,0.002,0.001,211.0,446.0,1.02
"p[1, 2]",0.001,0.013,0.0,0.0,0.0,0.0,106.0,139.0,1.03
"p[1, 3]",0.002,0.015,0.0,0.001,0.0,0.0,181.0,382.0,1.02
"p[1, 4]",0.003,0.016,0.0,0.005,0.0,0.0,218.0,388.0,1.02
"p[1, 5]",0.0,0.007,0.0,0.0,0.0,0.0,21.0,61.0,1.14
"p[1, 6]",0.004,0.021,0.0,0.015,0.001,0.0,150.0,581.0,1.02
"p[1, 7]",0.001,0.015,0.0,0.0,0.0,0.0,131.0,164.0,1.02
"p[1, 8]",0.0,0.001,0.0,0.0,0.0,0.0,36.0,45.0,1.09
"p[1, 9]",0.006,0.029,0.0,0.024,0.001,0.0,232.0,713.0,1.02
"p[2, 0]",0.004,0.041,0.0,0.002,0.001,0.001,27.0,182.0,1.11
"p[2, 1]",0.005,0.043,0.0,0.001,0.001,0.001,104.0,288.0,1.05
"p[2, 2]",0.001,0.018,0.0,0.0,0.0,0.0,16.0,138.0,1.18
"p[2, 3]",0.816,0.269,0.207,1.0,0.031,0.023,62.0,476.0,1.05
"p[2, 4]",0.162,0.255,0.0,0.746,0.031,0.022,55.0,351.0,1.05
"p[2, 5]",0.001,0.009,0.0,0.0,0.0,0.0,17.0,179.0,1.18
"p[2, 6]",0.001,0.009,0.0,0.0,0.0,0.0,52.0,103.0,1.06
"p[2, 7]",0.004,0.041,0.0,0.0,0.001,0.001,33.0,385.0,1.09
"p[2, 8]",0.006,0.041,0.0,0.008,0.002,0.001,47.0,342.0,1.07
"p[2, 9]",0.001,0.012,0.0,0.0,0.0,0.0,53.0,264.0,1.07
"p[3, 0]",0.015,0.081,0.0,0.029,0.002,0.002,36.0,372.0,1.08
"p[3, 1]",0.001,0.021,0.0,0.0,0.001,0.0,87.0,247.0,1.06
"p[3, 2]",0.0,0.007,0.0,0.0,0.0,0.0,71.0,384.0,1.05
"p[3, 3]",0.007,0.049,0.0,0.008,0.001,0.001,34.0,174.0,1.08
"p[3, 4]",0.12,0.212,0.0,0.601,0.007,0.005,422.0,542.0,1.01
"p[3, 5]",0.026,0.093,0.0,0.122,0.004,0.003,71.0,597.0,1.05
"p[3, 6]",0.671,0.317,0.069,1.0,0.01,0.008,627.0,1243.0,1.01
"p[3, 7]",0.007,0.055,0.0,0.003,0.001,0.001,85.0,317.0,1.05
"p[3, 8]",0.017,0.071,0.0,0.067,0.002,0.002,202.0,518.0,1.03
"p[3, 9]",0.137,0.224,0.0,0.63,0.007,0.005,696.0,832.0,1.01
"p[4, 0]",0.004,0.02,0.0,0.016,0.0,0.0,467.0,731.0,1.02
"p[4, 1]",0.002,0.013,0.0,0.008,0.0,0.0,171.0,280.0,1.02
"p[4, 2]",0.068,0.1,0.0,0.258,0.002,0.002,1163.0,1236.0,1.0
"p[4, 3]",0.01,0.035,0.0,0.046,0.001,0.001,121.0,658.0,1.03
"p[4, 4]",0.058,0.088,0.0,0.223,0.003,0.002,707.0,1095.0,1.0
"p[4, 5]",0.002,0.013,0.0,0.004,0.001,0.001,43.0,76.0,1.09
"p[4, 6]",0.033,0.062,0.0,0.138,0.002,0.001,283.0,1119.0,1.02
"p[4, 7]",0.005,0.027,0.0,0.018,0.001,0.0,409.0,497.0,1.01
"p[4, 8]",0.101,0.114,0.0,0.318,0.004,0.003,736.0,957.0,1.01
"p[4, 9]",0.716,0.184,0.387,0.996,0.006,0.005,771.0,3044.0,1.01
"p[5, 0]",0.004,0.019,0.0,0.012,0.0,0.0,211.0,499.0,1.02
"p[5, 1]",0.0,0.004,0.0,0.0,0.0,0.0,37.0,88.0,1.09
"p[5, 2]",0.019,0.043,0.0,0.087,0.001,0.001,461.0,988.0,1.01
"p[5, 3]",0.003,0.018,0.0,0.006,0.0,0.0,197.0,339.0,1.02
"p[5, 4]",0.004,0.014,0.0,0.016,0.001,0.0,177.0,387.0,1.03
"p[5, 5]",0.758,0.151,0.473,0.982,0.004,0.003,1786.0,2726.0,1.01
"p[5, 6]",0.002,0.011,0.0,0.009,0.0,0.0,56.0,284.0,1.07
"p[5, 7]",0.004,0.019,0.0,0.012,0.0,0.0,148.0,446.0,1.04
"p[5, 8]",0.183,0.137,0.001,0.437,0.004,0.003,1384.0,2107.0,1.01
"p[5, 9]",0.024,0.047,0.0,0.106,0.002,0.001,94.0,640.0,1.04
"p[6, 0]",0.002,0.015,0.0,0.007,0.0,0.0,51.0,439.0,1.06
"p[6, 1]",0.009,0.028,0.0,0.043,0.001,0.001,142.0,295.0,1.02
"p[6, 2]",0.004,0.016,0.0,0.014,0.001,0.0,95.0,259.0,1.02
"p[6, 3]",0.004,0.018,0.0,0.013,0.0,0.0,75.0,663.0,1.05
"p[6, 4]",0.034,0.054,0.0,0.125,0.002,0.001,561.0,1170.0,1.0
"p[6, 5]",0.004,0.018,0.0,0.013,0.002,0.001,46.0,72.0,1.07
"p[6, 6]",0.045,0.064,0.0,0.157,0.002,0.002,322.0,724.0,1.02
"p[6, 7]",0.004,0.019,0.0,0.01,0.0,0.0,98.0,287.0,1.04
"p[6, 8]",0.858,0.125,0.624,0.999,0.006,0.006,109.0,237.0,1.04
"p[6, 9]",0.036,0.071,0.0,0.169,0.008,0.006,18.0,207.0,1.15
"p[7, 0]",0.001,0.011,0.0,0.003,0.0,0.0,232.0,928.0,1.03
"p[7, 1]",0.004,0.019,0.0,0.012,0.001,0.001,62.0,214.0,1.05
"p[7, 2]",0.03,0.078,0.0,0.149,0.004,0.003,98.0,374.0,1.02
"p[7, 3]",0.002,0.012,0.0,0.005,0.0,0.0,45.0,193.0,1.06
"p[7, 4]",0.058,0.1,0.0,0.222,0.003,0.002,467.0,706.0,1.01
"p[7, 5]",0.007,0.033,0.0,0.025,0.004,0.003,17.0,47.0,1.17
"p[7, 6]",0.05,0.081,0.0,0.187,0.003,0.002,264.0,786.0,1.03
"p[7, 7]",0.002,0.015,0.0,0.003,0.0,0.0,168.0,452.0,1.01
"p[7, 8]",0.076,0.118,0.0,0.303,0.011,0.007,38.0,78.0,1.08
"p[7, 9]",0.771,0.202,0.38,1.0,0.011,0.009,224.0,950.0,1.03
"p[8, 0]",0.006,0.031,0.0,0.014,0.001,0.001,279.0,313.0,1.01
"p[8, 1]",0.009,0.041,0.0,0.027,0.001,0.001,146.0,283.0,1.02
"p[8, 2]",0.208,0.229,0.0,0.689,0.013,0.009,189.0,758.0,1.02
"p[8, 3]",0.003,0.021,0.0,0.006,0.001,0.0,71.0,93.0,1.05
"p[8, 4]",0.246,0.221,0.0,0.681,0.012,0.009,356.0,947.0,1.02
"p[8, 5]",0.33,0.261,0.0,0.802,0.015,0.01,312.0,1005.0,1.02
"p[8, 6]",0.002,0.012,0.0,0.007,0.0,0.0,37.0,110.0,1.1
"p[8, 7]",0.005,0.028,0.0,0.012,0.001,0.0,133.0,302.0,1.04
"p[8, 8]",0.186,0.205,0.0,0.603,0.017,0.012,102.0,315.0,1.05
"p[8, 9]",0.006,0.032,0.0,0.017,0.001,0.001,17.0,229.0,1.16
"p[9, 0]",0.002,0.019,0.0,0.0,0.0,0.0,87.0,165.0,1.03
"p[9, 1]",0.0,0.007,0.0,0.0,0.0,0.0,167.0,296.0,1.02
"p[9, 2]",0.973,0.081,0.856,1.0,0.003,0.002,143.0,330.0,1.01
"p[9, 3]",0.002,0.022,0.0,0.0,0.0,0.0,56.0,99.0,1.05
"p[9, 4]",0.009,0.044,0.0,0.03,0.001,0.001,120.0,449.0,1.0
"p[9, 5]",0.013,0.053,0.0,0.052,0.002,0.001,152.0,289.0,1.02
"p[9, 6]",0.0,0.0,0.0,0.0,0.0,0.0,82.0,95.0,1.06
"p[9, 7]",0.001,0.015,0.0,0.0,0.0,0.0,68.0,185.0,1.05
"p[9, 8]",0.0,0.0,0.0,0.0,0.0,0.0,84.0,241.0,1.03
"p[9, 9]",0.0,0.001,0.0,0.0,0.0,0.0,95.0,294.0,1.04
"p[10, 0]",0.002,0.016,0.0,0.003,0.0,0.0,228.0,450.0,1.02
"p[10, 1]",0.134,0.13,0.0,0.383,0.003,0.002,1349.0,2472.0,1.01
"p[10, 2]",0.001,0.009,0.0,0.002,0.0,0.0,160.0,609.0,1.02
"p[10, 3]",0.008,0.031,0.0,0.034,0.001,0.001,255.0,523.0,1.01
"p[10, 4]",0.0,0.001,0.0,0.0,0.0,0.0,56.0,64.0,1.05
"p[10, 5]",0.051,0.086,0.0,0.203,0.003,0.002,547.0,907.0,1.01
"p[10, 6]",0.79,0.158,0.493,0.999,0.004,0.003,1362.0,2704.0,1.01
"p[10, 7]",0.002,0.02,0.0,0.003,0.0,0.0,142.0,661.0,1.03
"p[10, 8]",0.011,0.03,0.0,0.048,0.001,0.001,224.0,515.0,1.02
"p[10, 9]",0.0,0.003,0.0,0.0,0.0,0.0,28.0,63.0,1.13
"p[11, 0]",0.002,0.016,0.0,0.003,0.0,0.0,228.0,450.0,1.02
"p[11, 1]",0.134,0.13,0.0,0.383,0.003,0.002,1349.0,2472.0,1.01
"p[11, 2]",0.001,0.009,0.0,0.002,0.0,0.0,160.0,609.0,1.02
"p[11, 3]",0.008,0.031,0.0,0.034,0.001,0.001,255.0,523.0,1.01
"p[11, 4]",0.0,0.001,0.0,0.0,0.0,0.0,56.0,64.0,1.05
"p[11, 5]",0.051,0.086,0.0,0.203,0.003,0.002,547.0,907.0,1.01
"p[11, 6]",0.79,0.158,0.493,0.999,0.004,0.003,1362.0,2704.0,1.01
"p[11, 7]",0.002,0.02,0.0,0.003,0.0,0.0,142.0,661.0,1.03
"p[11, 8]",0.011,0.03,0.0,0.048,0.001,0.001,224.0,515.0,1.02
"p[11, 9]",0.0,0.003,0.0,0.0,0.0,0.0,28.0,63.0,1.13
"p[12, 0]",0.002,0.019,0.0,0.0,0.0,0.0,87.0,165.0,1.03
"p[12, 1]",0.0,0.007,0.0,0.0,0.0,0.0,167.0,296.0,1.02
"p[12, 2]",0.973,0.081,0.856,1.0,0.003,0.002,143.0,330.0,1.01
"p[12, 3]",0.002,0.022,0.0,0.0,0.0,0.0,56.0,99.0,1.05
"p[12, 4]",0.009,0.044,0.0,0.03,0.001,0.001,120.0,449.0,1.0
"p[12, 5]",0.013,0.053,0.0,0.052,0.002,0.001,152.0,289.0,1.02
"p[12, 6]",0.0,0.0,0.0,0.0,0.0,0.0,82.0,95.0,1.06
"p[12, 7]",0.001,0.015,0.0,0.0,0.0,0.0,68.0,185.0,1.05
"p[12, 8]",0.0,0.0,0.0,0.0,0.0,0.0,84.0,241.0,1.03
"p[12, 9]",0.0,0.001,0.0,0.0,0.0,0.0,95.0,294.0,1.04
"p[13, 0]",0.003,0.018,0.0,0.008,0.0,0.0,117.0,353.0,1.04
"p[13, 1]",0.0,0.008,0.0,0.0,0.0,0.0,37.0,72.0,1.09
"p[13, 2]",0.007,0.02,0.0,0.031,0.001,0.001,198.0,452.0,1.02
"p[13, 3]",0.002,0.014,0.0,0.004,0.0,0.0,133.0,353.0,1.03
"p[13, 4]",0.006,0.017,0.0,0.026,0.001,0.001,170.0,396.0,1.03
"p[13, 5]",0.392,0.211,0.031,0.759,0.011,0.008,320.0,824.0,1.01
"p[13, 6]",0.006,0.022,0.0,0.022,0.001,0.001,58.0,281.0,1.07
"p[13, 7]",0.003,0.018,0.0,0.011,0.0,0.0,73.0,401.0,1.05
"p[13, 8]",0.564,0.217,0.179,0.94,0.012,0.009,291.0,793.0,1.01
"p[13, 9]",0.016,0.038,0.0,0.071,0.004,0.003,21.0,87.0,1.14
"p[14, 0]",0.004,0.023,0.0,0.013,0.001,0.0,223.0,554.0,1.02
"p[14, 1]",0.0,0.003,0.0,0.0,0.0,0.0,36.0,88.0,1.09
"p[14, 2]",0.022,0.051,0.0,0.108,0.001,0.001,517.0,937.0,1.01
"p[14, 3]",0.003,0.021,0.0,0.006,0.0,0.0,206.0,328.0,1.02
"p[14, 4]",0.003,0.013,0.0,0.014,0.0,0.0,177.0,388.0,1.03
"p[14, 5]",0.796,0.141,0.537,0.996,0.004,0.003,991.0,2546.0,1.01
"p[14, 6]",0.002,0.009,0.0,0.007,0.0,0.0,55.0,290.0,1.07
"p[14, 7]",0.004,0.021,0.0,0.011,0.0,0.0,164.0,461.0,1.03
"p[14, 8]",0.137,0.117,0.0,0.353,0.003,0.002,1142.0,1994.0,1.01
"p[14, 9]",0.028,0.054,0.0,0.122,0.002,0.001,220.0,697.0,1.03
"p[15, 0]",0.004,0.025,0.0,0.012,0.001,0.001,39.0,205.0,1.08
"p[15, 1]",0.406,0.276,0.001,0.879,0.015,0.01,359.0,1185.0,1.02
"p[15, 2]",0.001,0.009,0.0,0.002,0.0,0.0,59.0,274.0,1.03
"p[15, 3]",0.004,0.022,0.0,0.01,0.001,0.0,144.0,365.0,1.04
"p[15, 4]",0.039,0.073,0.0,0.157,0.004,0.003,259.0,1093.0,1.01
"p[15, 5]",0.008,0.032,0.0,0.029,0.003,0.002,23.0,79.0,1.12
"p[15, 6]",0.096,0.136,0.0,0.36,0.006,0.004,445.0,791.0,1.02
"p[15, 7]",0.006,0.033,0.0,0.018,0.001,0.001,39.0,180.0,1.07
"p[15, 8]",0.417,0.272,0.0,0.862,0.029,0.02,72.0,115.0,1.05
"p[15, 9]",0.019,0.058,0.0,0.084,0.005,0.003,20.0,164.0,1.14
"p[16, 0]",0.004,0.019,0.0,0.016,0.001,0.0,49.0,291.0,1.06
"p[16, 1]",0.035,0.051,0.0,0.13,0.001,0.001,628.0,1128.0,1.01
"p[16, 2]",0.0,0.004,0.0,0.001,0.0,0.0,84.0,267.0,1.02
"p[16, 3]",0.003,0.014,0.0,0.013,0.0,0.0,129.0,361.0,1.03
"p[16, 4]",0.008,0.019,0.0,0.037,0.001,0.0,348.0,893.0,1.01
"p[16, 5]",0.007,0.02,0.0,0.031,0.001,0.001,113.0,409.0,1.01
"p[16, 6]",0.022,0.037,0.0,0.086,0.001,0.001,410.0,731.0,1.02
"p[16, 7]",0.006,0.023,0.0,0.029,0.001,0.001,33.0,434.0,1.09
"p[16, 8]",0.912,0.079,0.765,0.999,0.003,0.002,492.0,1831.0,1.01
"p[16, 9]",0.002,0.009,0.0,0.009,0.0,0.0,17.0,207.0,1.17
"p[17, 0]",0.002,0.016,0.0,0.003,0.0,0.0,143.0,497.0,1.03
"p[17, 1]",0.003,0.021,0.0,0.006,0.001,0.001,50.0,135.0,1.07
"p[17, 2]",0.01,0.039,0.0,0.036,0.001,0.001,121.0,221.0,1.02
