,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],-1.73,4.891,-10.227,7.139,2.003,1.492,6.0,27.0,1.71
beta_mu[1],-0.793,5.773,-12.731,9.106,1.651,1.197,12.0,70.0,1.27
beta_mu[2],-0.712,5.72,-10.737,9.292,1.994,1.463,9.0,46.0,1.45
beta_mu[3],-0.733,5.766,-11.09,9.945,1.977,1.449,9.0,29.0,1.38
beta_mu[4],-3.171,4.583,-10.619,5.007,1.961,1.469,6.0,39.0,1.86
beta_mu[5],8.361,3.996,1.742,16.208,1.549,1.147,7.0,29.0,1.59
beta_mu[6],8.804,4.571,1.343,18.735,1.797,1.391,7.0,16.0,1.58
beta_mu[7],0.242,6.453,-11.465,11.471,2.373,1.749,8.0,42.0,1.47
beta_mu[8],-1.205,5.549,-12.481,8.0,1.73,1.26,10.0,32.0,1.33
beta_mu[9],-0.174,6.649,-13.799,10.307,1.962,1.424,11.0,21.0,1.3
beta_mu[10],-2.181,6.534,-14.67,8.831,2.361,1.737,8.0,14.0,1.48
beta_mu[11],-1.38,5.546,-11.906,8.394,1.785,1.302,10.0,95.0,1.32
beta_mu[12],-1.41,5.508,-12.156,9.178,1.934,1.42,9.0,13.0,1.41
"beta[0, 0]",-2.882,4.502,-10.816,5.054,2.01,1.513,5.0,25.0,2.03
"beta[0, 1]",-1.091,6.699,-13.063,11.832,1.634,1.176,17.0,166.0,1.18
"beta[0, 2]",-1.305,6.917,-13.977,11.805,2.026,1.47,12.0,183.0,1.28
"beta[0, 3]",-0.96,6.373,-12.459,11.764,1.688,1.219,15.0,37.0,1.19
"beta[0, 4]",-3.612,4.62,-11.728,4.473,2.038,1.532,5.0,28.0,2.0
"beta[0, 5]",8.135,3.691,1.826,14.715,1.402,1.036,7.0,43.0,1.53
"beta[0, 6]",11.625,4.912,3.115,21.353,1.89,1.398,7.0,16.0,1.69
"beta[0, 7]",-0.114,7.357,-13.299,13.242,2.334,1.701,10.0,101.0,1.32
"beta[0, 8]",-1.217,6.541,-14.19,10.014,1.658,1.195,16.0,54.0,1.19
"beta[0, 9]",-0.528,7.661,-15.611,12.667,2.161,1.565,13.0,19.0,1.24
"beta[0, 10]",-2.568,7.199,-16.839,10.121,2.343,1.711,10.0,19.0,1.34
"beta[0, 11]",-1.932,6.219,-12.826,9.218,1.633,1.178,15.0,201.0,1.21
"beta[0, 12]",-1.569,6.434,-12.632,11.565,1.97,1.433,11.0,22.0,1.28
"beta[1, 0]",-1.921,8.52,-17.36,14.451,2.057,1.48,17.0,265.0,1.17
"beta[1, 1]",-0.853,7.532,-16.023,12.113,1.662,1.192,21.0,141.0,1.15
