,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"p[2, 1]",0.001,0.007,0.0,0.003,0.0,0.0,93.0,414.0,1.05
"p[2, 2]",0.001,0.005,0.0,0.004,0.0,0.0,57.0,209.0,1.06
"p[2, 3]",0.906,0.067,0.786,0.998,0.002,0.001,1304.0,2069.0,1.01
"p[2, 4]",0.002,0.008,0.0,0.006,0.0,0.0,85.0,302.0,1.05
"p[2, 5]",0.001,0.008,0.0,0.003,0.0,0.0,35.0,433.0,1.08
"p[2, 6]",0.001,0.008,0.0,0.003,0.0,0.0,41.0,142.0,1.08
"p[2, 7]",0.001,0.007,0.0,0.002,0.0,0.0,24.0,240.0,1.12
"p[2, 8]",0.026,0.034,0.0,0.088,0.001,0.001,320.0,606.0,1.02
"p[2, 9]",0.056,0.051,0.0,0.151,0.002,0.001,856.0,1330.0,1.01
"p[2, 10]",0.001,0.008,0.0,0.004,0.0,0.0,81.0,371.0,1.06
"p[3, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,33.0,1.45
"p[3, 1]",0.0,0.0,0.0,0.0,0.0,0.0,20.0,106.0,1.15
"p[3, 2]",0.0,0.001,0.0,0.0,0.0,0.0,21.0,207.0,1.13
"p[3, 3]",0.105,0.111,0.0,0.32,0.005,0.003,309.0,712.0,1.02
"p[3, 4]",0.0,0.001,0.0,0.0,0.0,0.0,10.0,41.0,1.32
"p[3, 5]",0.0,0.0,0.0,0.0,0.0,0.0,29.0,241.0,1.1
"p[3, 6]",0.0,0.001,0.0,0.0,0.0,0.0,10.0,29.0,1.33
"p[3, 7]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,29.0,1.59
"p[3, 8]",0.776,0.151,0.496,0.994,0.008,0.006,253.0,436.0,1.02
"p[3, 9]",0.119,0.113,0.001,0.322,0.008,0.006,95.0,351.0,1.05
"p[3, 10]",0.0,0.0,0.0,0.0,0.0,0.0,35.0,239.0,1.1
"p[4, 0]",0.004,0.013,0.0,0.017,0.0,0.0,35.0,336.0,1.09
"p[4, 1]",0.002,0.011,0.0,0.004,0.0,0.0,102.0,417.0,1.04
"p[4, 2]",0.002,0.009,0.0,0.006,0.0,0.0,62.0,245.0,1.06
"p[4, 3]",0.92,0.061,0.809,0.998,0.002,0.001,1184.0,1996.0,1.01
"p[4, 4]",0.002,0.011,0.0,0.009,0.0,0.0,108.0,316.0,1.04
"p[4, 5]",0.002,0.009,0.0,0.004,0.0,0.0,37.0,446.0,1.08
"p[4, 6]",0.002,0.009,0.0,0.004,0.0,0.0,47.0,207.0,1.07
"p[4, 7]",0.001,0.008,0.0,0.003,0.0,0.0,26.0,296.0,1.11
"p[4, 8]",0.022,0.03,0.0,0.075,0.001,0.001,339.0,726.0,1.02
"p[4, 9]",0.043,0.042,0.0,0.12,0.001,0.001,736.0,1260.0,1.02
"p[4, 10]",0.002,0.011,0.0,0.005,0.0,0.0,96.0,405.0,1.05
"p[5, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0,1.5
"p[5, 1]",0.0,0.003,0.0,0.0,0.0,0.0,16.0,45.0,1.19
"p[5, 2]",0.0,0.001,0.0,0.0,0.0,0.0,27.0,129.0,1.11
"p[5, 3]",0.103,0.123,0.0,0.344,0.005,0.003,494.0,1072.0,1.01
"p[5, 4]",0.0,0.007,0.0,0.0,0.0,0.0,9.0,39.0,1.36
"p[5, 5]",0.0,0.0,0.0,0.0,0.0,0.0,22.0,135.0,1.13
"p[5, 6]",0.0,0.0,0.0,0.0,0.0,0.0,10.0,23.0,1.34
"p[5, 7]",0.0,0.003,0.0,0.0,0.0,0.0,6.0,28.0,1.67
"p[5, 8]",0.113,0.125,0.0,0.359,0.007,0.005,244.0,644.0,1.02
"p[5, 9]",0.783,0.178,0.435,0.999,0.008,0.006,418.0,975.0,1.02
"p[5, 10]",0.0,0.005,0.0,0.0,0.0,0.0,30.0,328.0,1.12
"p[6, 0]",0.004,0.013,0.0,0.017,0.0,0.0,35.0,336.0,1.09
"p[6, 1]",0.002,0.011,0.0,0.004,0.0,0.0,102.0,417.0,1.04
"p[6, 2]",0.002,0.009,0.0,0.006,0.0,0.0,62.0,245.0,1.06
"p[6, 3]",0.92,0.061,0.809,0.998,0.002,0.001,1184.0,1996.0,1.01
"p[6, 4]",0.002,0.011,0.0,0.009,0.0,0.0,108.0,316.0,1.04
"p[6, 5]",0.002,0.009,0.0,0.004,0.0,0.0,37.0,446.0,1.08
"p[6, 6]",0.002,0.009,0.0,0.004,0.0,0.0,47.0,207.0,1.07
"p[6, 7]",0.001,0.008,0.0,0.003,0.0,0.0,26.0,296.0,1.11
"p[6, 8]",0.022,0.03,0.0,0.075,0.001,0.001,339.0,726.0,1.02
"p[6, 9]",0.043,0.042,0.0,0.12,0.001,0.001,736.0,1260.0,1.02
"p[6, 10]",0.002,0.011,0.0,0.005,0.0,0.0,96.0,405.0,1.05
"p[7, 0]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,34.0,1.57
"p[7, 1]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,67.0,1.18
"p[7, 2]",0.0,0.0,0.0,0.0,0.0,0.0,16.0,134.0,1.19
"p[7, 3]",0.294,0.215,0.001,0.687,0.013,0.009,214.0,715.0,1.03
"p[7, 4]",0.0,0.0,0.0,0.0,0.0,0.0,9.0,34.0,1.4
"p[7, 5]",0.0,0.0,0.0,0.0,0.0,0.0,21.0,131.0,1.14
"p[7, 6]",0.0,0.002,0.0,0.0,0.0,0.0,9.0,23.0,1.38
"p[7, 7]",0.0,0.001,0.0,0.0,0.0,0.0,6.0,34.0,1.67
"p[7, 8]",0.328,0.191,0.027,0.681,0.01,0.007,272.0,991.0,1.01
"p[7, 9]",0.378,0.206,0.041,0.761,0.011,0.008,334.0,523.0,1.01
"p[7, 10]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,269.0,1.16
"p[8, 0]",0.0,0.0,0.0,0.0,0.0,0.0,15.0,57.0,1.2
"p[8, 1]",0.0,0.003,0.0,0.0,0.0,0.0,38.0,559.0,1.08
"p[8, 2]",0.0,0.009,0.0,0.0,0.0,0.0,57.0,641.0,1.06
"p[8, 3]",0.042,0.079,0.0,0.179,0.005,0.004,84.0,115.0,1.05
"p[8, 4]",0.0,0.005,0.0,0.0,0.0,0.0,28.0,137.0,1.1
"p[8, 5]",0.0,0.006,0.0,0.0,0.0,0.0,80.0,530.0,1.05
"p[8, 6]",0.0,0.006,0.0,0.0,0.0,0.0,18.0,261.0,1.16
"p[8, 7]",0.0,0.003,0.0,0.0,0.0,0.0,11.0,103.0,1.28
"p[8, 8]",0.937,0.093,0.76,1.0,0.008,0.006,59.0,297.0,1.05
"p[8, 9]",0.019,0.045,0.0,0.089,0.006,0.004,27.0,79.0,1.12
"p[8, 10]",0.0,0.003,0.0,0.0,0.0,0.0,167.0,267.0,1.04
"p[9, 0]",0.999,0.005,0.995,1.0,0.0,0.0,31.0,521.0,1.1
"p[9, 1]",0.0,0.003,0.0,0.0,0.0,0.0,19.0,150.0,1.18
"p[9, 2]",0.0,0.002,0.0,0.0,0.0,0.0,10.0,42.0,1.34
"p[9, 3]",0.0,0.0,0.0,0.0,0.0,0.0,7.0,48.0,1.57
"p[9, 4]",0.0,0.002,0.0,0.0,0.0,0.0,7.0,18.0,1.51
"p[9, 5]",0.0,0.003,0.0,0.0,0.0,0.0,9.0,33.0,1.39
"p[9, 6]",0.0,0.001,0.0,0.0,0.0,0.0,16.0,108.0,1.18
"p[9, 7]",0.0,0.002,0.0,0.0,0.0,0.0,9.0,14.0,1.38
"p[9, 8]",0.0,0.0,0.0,0.0,0.0,0.0,6.0,31.0,1.74
"p[9, 9]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,1.48
"p[9, 10]",0.0,0.001,0.0,0.0,0.0,0.0,9.0,103.0,1.42
"p[10, 0]",0.004,0.013,0.0,0.017,0.0,0.0,35.0,336.0,1.09
"p[10, 1]",0.002,0.011,0.0,0.004,0.0,0.0,102.0,417.0,1.04
"p[10, 2]",0.002,0.009,0.0,0.006,0.0,0.0,62.0,245.0,1.06
"p[10, 3]",0.92,0.061,0.809,0.998,0.002,0.001,1184.0,1996.0,1.01
"p[10, 4]",0.002,0.011,0.0,0.009,0.0,0.0,108.0,316.0,1.04
"p[10, 5]",0.002,0.009,0.0,0.004,0.0,0.0,37.0,446.0,1.08
"p[10, 6]",0.002,0.009,0.0,0.004,0.0,0.0,47.0,207.0,1.07
"p[10, 7]",0.001,0.008,0.0,0.003,0.0,0.0,26.0,296.0,1.11
"p[10, 8]",0.022,0.03,0.0,0.075,0.001,0.001,339.0,726.0,1.02
"p[10, 9]",0.043,0.042,0.0,0.12,0.001,0.001,736.0,1260.0,1.02
"p[10, 10]",0.002,0.011,0.0,0.005,0.0,0.0,96.0,405.0,1.05
"p[11, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,37.0,1.46
"p[11, 1]",0.0,0.001,0.0,0.0,0.0,0.0,16.0,203.0,1.19
"p[11, 2]",0.0,0.001,0.0,0.0,0.0,0.0,23.0,236.0,1.12
"p[11, 3]",0.032,0.068,0.0,0.144,0.005,0.004,106.0,69.0,1.03
"p[11, 4]",0.0,0.0,0.0,0.0,0.0,0.0,12.0,41.0,1.25
"p[11, 5]",0.0,0.0,0.0,0.0,0.0,0.0,22.0,124.0,1.13
"p[11, 6]",0.0,0.001,0.0,0.0,0.0,0.0,9.0,29.0,1.35
"p[11, 7]",0.0,0.002,0.0,0.0,0.0,0.0,7.0,48.0,1.53
"p[11, 8]",0.862,0.166,0.521,1.0,0.019,0.014,57.0,242.0,1.07
"p[11, 9]",0.106,0.152,0.0,0.427,0.021,0.015,31.0,204.0,1.11
"p[11, 10]",0.0,0.0,0.0,0.0,0.0,0.0,30.0,319.0,1.1
"p[12, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,35.0,1.5
