,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_mu[0],-7.716,5.514,-18.87,0.941,1.849,1.353,9.0,51.0,1.35
beta_mu[1],0.263,6.426,-12.791,10.828,1.52,1.093,19.0,71.0,1.16
beta_mu[2],1.132,6.411,-11.227,11.361,1.73,1.251,15.0,38.0,1.22
beta_mu[3],2.791,4.706,-6.629,11.3,0.756,0.539,38.0,119.0,1.09
beta_mu[4],5.161,4.196,-3.577,12.529,1.106,0.798,14.0,92.0,1.2
beta_mu[5],1.092,6.062,-10.601,11.513,1.598,1.154,14.0,32.0,1.22
beta_mu[6],0.47,6.004,-10.643,10.845,0.827,0.588,53.0,95.0,1.04
beta_mu[7],7.137,5.441,-2.781,17.812,0.726,0.552,57.0,135.0,1.07
beta_mu[8],0.636,4.837,-8.397,9.962,0.5,0.355,93.0,188.0,1.04
"beta[0, 0]",-7.823,7.514,-22.704,4.584,1.716,1.233,20.0,285.0,1.14
"beta[0, 1]",0.321,8.329,-15.773,15.111,1.547,1.105,29.0,151.0,1.1
"beta[0, 2]",1.124,8.082,-14.193,15.021,1.589,1.136,27.0,133.0,1.12
"beta[0, 3]",2.882,8.769,-13.935,19.359,0.586,0.415,217.0,509.0,1.03
"beta[0, 4]",4.67,7.702,-10.62,19.707,1.02,0.725,50.0,255.0,1.06
"beta[0, 5]",1.271,7.695,-12.328,15.234,1.577,1.129,24.0,272.0,1.12
"beta[0, 6]",0.739,7.798,-13.153,16.106,0.868,0.616,81.0,158.0,1.02
"beta[0, 7]",7.272,9.208,-9.425,26.578,0.675,0.703,188.0,357.0,1.04
"beta[0, 8]",0.586,7.143,-12.966,14.254,0.592,0.42,144.0,420.0,1.03
"beta[1, 0]",-7.652,7.31,-22.167,4.573,1.741,1.252,18.0,123.0,1.16
"beta[1, 1]",0.329,8.547,-16.2,16.004,1.348,0.96,40.0,149.0,1.09
"beta[1, 2]",0.611,9.032,-18.829,16.32,2.04,1.464,21.0,104.0,1.15
"beta[1, 3]",2.822,8.695,-12.609,20.605,0.622,0.44,193.0,458.0,1.03
"beta[1, 4]",5.487,7.129,-8.534,18.61,0.937,0.666,55.0,529.0,1.07
"beta[1, 5]",1.474,8.075,-14.083,16.011,1.414,1.009,31.0,259.0,1.11
"beta[1, 6]",0.218,7.842,-14.195,16.603,0.881,0.625,79.0,127.0,1.02
"beta[1, 7]",7.295,9.287,-10.553,25.305,0.641,0.454,211.0,437.0,1.02
"beta[1, 8]",0.641,6.935,-12.917,13.263,0.563,0.399,150.0,383.0,1.02
"beta[2, 0]",-8.613,6.566,-21.269,2.181,1.966,1.428,12.0,85.0,1.27
"beta[2, 1]",-0.095,7.354,-14.3,12.463,1.427,1.02,27.0,92.0,1.11
"beta[2, 2]",1.056,7.151,-12.369,12.926,1.828,1.318,16.0,80.0,1.18
"beta[2, 3]",6.468,4.322,-1.961,14.009,1.426,1.042,10.0,20.0,1.35
"beta[2, 4]",4.039,4.403,-3.94,12.62,1.408,1.027,10.0,25.0,1.35
"beta[2, 5]",0.827,6.954,-12.087,13.44,1.507,1.08,22.0,118.0,1.15
"beta[2, 6]",0.24,6.573,-11.656,12.442,0.714,0.507,85.0,164.0,1.04
"beta[2, 7]",5.405,6.665,-5.84,19.152,0.836,0.607,56.0,280.0,1.07
"beta[2, 8]",0.558,5.647,-10.182,10.973,0.398,0.282,197.0,392.0,1.03
"beta[3, 0]",-8.463,6.316,-21.299,1.897,2.174,1.594,9.0,29.0,1.39
"beta[3, 1]",0.736,7.624,-13.874,14.756,1.498,1.072,27.0,212.0,1.12
"beta[3, 2]",1.093,7.688,-14.223,13.565,1.649,1.182,24.0,84.0,1.13
"beta[3, 3]",-5.839,7.801,-22.658,6.351,1.13,0.804,47.0,140.0,1.09
"beta[3, 4]",11.85,5.647,2.745,23.014,0.719,0.511,55.0,146.0,1.06
"beta[3, 5]",1.25,7.64,-13.002,15.109,1.572,1.126,24.0,89.0,1.13
"beta[3, 6]",0.752,7.466,-13.853,14.826,0.855,0.607,77.0,149.0,1.03
"beta[3, 7]",4.855,7.407,-9.247,18.182,0.623,0.441,141.0,342.0,1.03
"beta[3, 8]",0.588,6.738,-11.589,13.507,0.567,0.402,139.0,258.0,1.04
"beta[4, 0]",-7.323,8.013,-24.219,5.391,1.797,1.29,19.0,212.0,1.15
"beta[4, 1]",0.214,8.125,-16.323,14.696,1.318,0.939,37.0,184.0,1.08
"beta[4, 2]",1.225,8.63,-15.558,16.42,1.667,1.192,27.0,182.0,1.11
"beta[4, 3]",2.837,9.014,-14.531,18.795,0.637,0.451,204.0,428.0,1.03
"beta[4, 4]",5.281,7.179,-7.917,19.376,0.999,0.71,50.0,443.0,1.06
"beta[4, 5]",1.174,8.103,-13.809,16.804,1.521,1.087,27.0,267.0,1.1
"beta[4, 6]",0.364,7.939,-14.711,15.09,0.839,0.595,90.0,125.0,1.03
