,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[4, 7]",6.692,8.924,-11.644,22.311,0.591,0.418,225.0,427.0,1.02
"beta[4, 8]",0.875,7.082,-12.046,14.939,0.617,0.438,134.0,351.0,1.03
"beta[5, 0]",-7.702,8.035,-22.754,7.095,2.026,1.46,16.0,153.0,1.18
"beta[5, 1]",0.364,8.768,-17.561,15.019,1.561,1.114,31.0,174.0,1.1
"beta[5, 2]",1.222,8.33,-14.513,15.763,1.725,1.235,24.0,151.0,1.14
"beta[5, 3]",2.922,8.772,-12.937,20.55,0.59,0.418,222.0,394.0,1.03
"beta[5, 4]",5.143,7.312,-8.885,19.312,0.875,0.621,65.0,394.0,1.07
"beta[5, 5]",0.789,8.197,-13.394,16.752,1.843,1.323,20.0,62.0,1.15
"beta[5, 6]",0.534,7.704,-13.542,15.584,0.857,0.608,81.0,172.0,1.03
"beta[5, 7]",7.472,8.979,-10.892,23.877,0.629,0.445,201.0,442.0,1.02
"beta[5, 8]",0.826,6.887,-12.44,14.094,0.526,0.373,170.0,401.0,1.02
"beta[6, 0]",-8.88,7.345,-23.241,3.885,1.974,1.426,14.0,55.0,1.22
"beta[6, 1]",0.515,7.58,-14.408,13.589,1.715,1.231,20.0,160.0,1.14
"beta[6, 2]",1.542,7.876,-13.041,15.418,1.725,1.238,22.0,156.0,1.14
"beta[6, 3]",-1.392,6.821,-14.664,10.469,0.776,0.55,81.0,152.0,1.05
"beta[6, 4]",1.227,5.762,-10.844,10.858,1.052,0.751,27.0,208.0,1.11
"beta[6, 5]",1.091,7.598,-13.502,15.203,1.548,1.108,24.0,130.0,1.13
"beta[6, 6]",0.652,7.132,-12.431,14.06,0.873,0.62,67.0,147.0,1.03
"beta[6, 7]",18.154,7.432,5.994,33.255,1.803,1.357,19.0,42.0,1.14
"beta[6, 8]",0.651,6.676,-13.68,11.845,0.561,0.397,143.0,247.0,1.02
"beta[7, 0]",-8.117,8.643,-24.75,7.968,2.257,1.629,14.0,56.0,1.2
"beta[7, 1]",0.23,8.472,-18.711,13.479,1.658,1.185,26.0,163.0,1.11
"beta[7, 2]",1.077,8.386,-13.913,17.032,1.864,1.338,21.0,304.0,1.14
"beta[7, 3]",2.915,8.473,-12.512,20.526,0.57,0.404,219.0,508.0,1.02
"beta[7, 4]",4.947,7.516,-8.976,19.166,0.986,0.7,55.0,141.0,1.06
"beta[7, 5]",1.251,8.039,-12.9,17.874,1.747,1.253,20.0,65.0,1.15
"beta[7, 6]",0.266,8.034,-15.147,15.211,0.919,0.652,76.0,189.0,1.02
"beta[7, 7]",7.156,8.833,-9.33,23.677,1.024,0.727,75.0,187.0,1.06
"beta[7, 8]",0.67,7.439,-13.265,14.756,0.642,0.455,131.0,316.0,1.02
"beta[8, 0]",-7.687,7.623,-24.173,4.641,2.161,1.565,12.0,115.0,1.24
"beta[8, 1]",0.156,7.404,-13.585,13.225,1.409,1.007,28.0,141.0,1.1
"beta[8, 2]",0.814,7.515,-13.992,12.805,1.669,1.198,22.0,312.0,1.14
"beta[8, 3]",12.239,5.276,2.32,22.618,0.987,0.72,29.0,48.0,1.12
"beta[8, 4]",4.915,5.582,-4.657,14.966,1.045,0.746,24.0,105.0,1.14
"beta[8, 5]",0.586,7.236,-12.164,13.238,1.687,1.212,19.0,66.0,1.16
"beta[8, 6]",0.418,6.959,-12.355,13.032,0.788,0.559,77.0,190.0,1.03
"beta[8, 7]",3.691,6.978,-9.729,17.126,0.558,0.579,149.0,114.0,1.05
"beta[8, 8]",0.376,6.332,-11.987,11.353,0.507,0.359,147.0,412.0,1.03
alpha[0],8.955,6.031,0.002,18.144,2.354,1.744,7.0,42.0,1.55
alpha[1],5.221,4.406,0.001,13.502,0.297,0.21,215.0,623.0,1.03
alpha[2],5.319,4.543,0.003,13.469,0.289,0.205,260.0,523.0,1.02
alpha[3],19.603,6.002,7.967,29.715,2.029,1.514,9.0,25.0,1.42
alpha[4],25.988,5.444,16.591,36.499,2.009,1.486,7.0,36.0,1.52
alpha[5],5.092,4.455,0.008,13.02,0.238,0.168,407.0,526.0,1.02
alpha[6],5.488,4.558,0.01,13.884,0.272,0.192,230.0,390.0,1.02
alpha[7],9.197,6.391,0.018,20.116,0.553,0.392,141.0,257.0,1.02
alpha[8],5.35,4.516,0.006,13.624,0.228,0.162,366.0,606.0,1.02
beta_sd[0],5.068,2.287,0.37,8.827,0.494,0.354,20.0,30.0,1.14
beta_sd[1],4.932,2.159,0.814,8.501,0.144,0.102,208.0,140.0,1.02
beta_sd[2],5.008,2.14,1.188,8.805,0.155,0.11,175.0,153.0,1.01
beta_sd[3],7.133,2.125,3.211,11.065,0.222,0.158,91.0,188.0,1.03
beta_sd[4],5.766,2.224,2.114,10.241,0.21,0.149,107.0,122.0,1.03
beta_sd[5],4.975,2.141,1.107,8.722,0.154,0.109,184.0,287.0,1.01
beta_sd[6],4.858,2.037,1.365,8.745,0.149,0.106,174.0,245.0,1.01
beta_sd[7],6.781,2.303,2.589,11.3,0.358,0.255,41.0,125.0,1.07
beta_sd[8],4.984,2.118,1.208,8.666,0.137,0.097,224.0,293.0,1.03
"p[0, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[0, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[0, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[0, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[0, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[0, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[0, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[0, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[0, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[1, 0]",0.0,0.009,0.0,0.0,0.0,0.0,11.0,77.0,1.31
"p[1, 1]",0.0,0.007,0.0,0.0,0.0,0.0,30.0,196.0,1.1
"p[1, 2]",0.001,0.012,0.0,0.0,0.0,0.0,30.0,146.0,1.1
"p[1, 3]",0.0,0.0,0.0,0.0,0.0,0.0,47.0,102.0,1.1
"p[1, 4]",0.996,0.025,0.992,1.0,0.001,0.0,125.0,879.0,1.04
"p[1, 5]",0.0,0.006,0.0,0.0,0.0,0.0,124.0,174.0,1.04
"p[1, 6]",0.001,0.01,0.0,0.0,0.0,0.0,108.0,265.0,1.04
"p[1, 7]",0.001,0.013,0.0,0.0,0.0,0.0,163.0,478.0,1.03
"p[1, 8]",0.001,0.009,0.0,0.0,0.0,0.0,84.0,202.0,1.04
"p[2, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[2, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[2, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[2, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[2, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[2, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[2, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[2, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[2, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[3, 0]",0.001,0.007,0.0,0.0,0.0,0.0,17.0,43.0,1.21
"p[3, 1]",0.001,0.01,0.0,0.0,0.0,0.0,100.0,261.0,1.03
"p[3, 2]",0.002,0.023,0.0,0.001,0.001,0.0,50.0,321.0,1.06
"p[3, 3]",0.944,0.107,0.747,1.0,0.005,0.004,274.0,520.0,1.01
"p[3, 4]",0.039,0.088,0.0,0.18,0.004,0.003,180.0,285.0,1.03
"p[3, 5]",0.001,0.012,0.0,0.0,0.0,0.0,140.0,308.0,1.03
"p[3, 6]",0.002,0.014,0.0,0.001,0.0,0.0,57.0,317.0,1.06
"p[3, 7]",0.009,0.046,0.0,0.026,0.001,0.001,79.0,190.0,1.04
"p[3, 8]",0.002,0.018,0.0,0.001,0.001,0.0,28.0,232.0,1.1
"p[4, 0]",0.001,0.007,0.0,0.0,0.0,0.0,17.0,44.0,1.2
"p[4, 1]",0.001,0.009,0.0,0.0,0.0,0.0,104.0,287.0,1.03
"p[4, 2]",0.002,0.014,0.0,0.001,0.0,0.0,56.0,294.0,1.06
"p[4, 3]",0.968,0.062,0.853,1.0,0.002,0.002,226.0,381.0,1.01
"p[4, 4]",0.023,0.052,0.0,0.113,0.002,0.001,174.0,332.0,1.02
"p[4, 5]",0.001,0.012,0.0,0.0,0.0,0.0,148.0,335.0,1.03
"p[4, 6]",0.001,0.011,0.0,0.0,0.0,0.0,55.0,367.0,1.06
"p[4, 7]",0.002,0.013,0.0,0.006,0.0,0.0,74.0,189.0,1.04
"p[4, 8]",0.001,0.013,0.0,0.001,0.0,0.0,29.0,241.0,1.1
"p[5, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[5, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[5, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[5, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[5, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[5, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[5, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[5, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[5, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[6, 0]",0.0,0.006,0.0,0.0,0.0,0.0,12.0,138.0,1.25
"p[6, 1]",0.002,0.029,0.0,0.0,0.001,0.0,58.0,467.0,1.05
"p[6, 2]",0.007,0.053,0.0,0.001,0.002,0.002,30.0,266.0,1.1
"p[6, 3]",0.028,0.109,0.0,0.115,0.003,0.002,95.0,173.0,1.02
"p[6, 4]",0.039,0.13,0.0,0.22,0.004,0.003,188.0,185.0,1.01
"p[6, 5]",0.002,0.024,0.0,0.0,0.0,0.0,52.0,438.0,1.06
"p[6, 6]",0.003,0.032,0.0,0.0,0.001,0.001,91.0,321.0,1.04
"p[6, 7]",0.914,0.189,0.492,1.0,0.005,0.004,450.0,550.0,1.01
"p[6, 8]",0.004,0.038,0.0,0.0,0.001,0.001,28.0,82.0,1.1
"p[7, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[7, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[7, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[7, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[7, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[7, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[7, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[7, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[7, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[8, 0]",0.001,0.007,0.0,0.0,0.0,0.0,17.0,44.0,1.2
"p[8, 1]",0.001,0.009,0.0,0.0,0.0,0.0,104.0,287.0,1.03
"p[8, 2]",0.002,0.014,0.0,0.001,0.0,0.0,56.0,294.0,1.06
"p[8, 3]",0.968,0.062,0.853,1.0,0.002,0.002,226.0,381.0,1.01
"p[8, 4]",0.023,0.052,0.0,0.113,0.002,0.001,174.0,332.0,1.02
"p[8, 5]",0.001,0.012,0.0,0.0,0.0,0.0,148.0,335.0,1.03
"p[8, 6]",0.001,0.011,0.0,0.0,0.0,0.0,55.0,367.0,1.06
"p[8, 7]",0.002,0.013,0.0,0.006,0.0,0.0,74.0,189.0,1.04
"p[8, 8]",0.001,0.013,0.0,0.001,0.0,0.0,29.0,241.0,1.1
"p[9, 0]",0.0,0.007,0.0,0.0,0.0,0.0,17.0,214.0,1.18
"p[9, 1]",0.001,0.01,0.0,0.0,0.0,0.0,79.0,354.0,1.04
"p[9, 2]",0.001,0.017,0.0,0.0,0.0,0.0,33.0,425.0,1.08
"p[9, 3]",0.0,0.002,0.0,0.0,0.0,0.0,77.0,207.0,1.04
"p[9, 4]",0.001,0.012,0.0,0.0,0.0,0.0,167.0,342.0,1.02
"p[9, 5]",0.001,0.008,0.0,0.0,0.0,0.0,44.0,281.0,1.07
"p[9, 6]",0.001,0.008,0.0,0.0,0.0,0.0,91.0,166.0,1.05
"p[9, 7]",0.995,0.029,0.988,1.0,0.001,0.0,70.0,1700.0,1.04
"p[9, 8]",0.001,0.01,0.0,0.0,0.0,0.0,34.0,122.0,1.09
"p[10, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[10, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[10, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[10, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[10, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[10, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[10, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[10, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[10, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[11, 0]",0.0,0.007,0.0,0.0,0.0,0.0,17.0,214.0,1.18
"p[11, 1]",0.001,0.01,0.0,0.0,0.0,0.0,79.0,354.0,1.04
"p[11, 2]",0.001,0.017,0.0,0.0,0.0,0.0,33.0,425.0,1.08
"p[11, 3]",0.0,0.002,0.0,0.0,0.0,0.0,77.0,207.0,1.04
"p[11, 4]",0.001,0.012,0.0,0.0,0.0,0.0,167.0,342.0,1.02
"p[11, 5]",0.001,0.008,0.0,0.0,0.0,0.0,44.0,281.0,1.07
"p[11, 6]",0.001,0.008,0.0,0.0,0.0,0.0,91.0,166.0,1.05
"p[11, 7]",0.995,0.029,0.988,1.0,0.001,0.0,70.0,1700.0,1.04
"p[11, 8]",0.001,0.01,0.0,0.0,0.0,0.0,34.0,122.0,1.09
"p[12, 0]",0.0,0.009,0.0,0.0,0.0,0.0,11.0,77.0,1.31
"p[12, 1]",0.0,0.007,0.0,0.0,0.0,0.0,30.0,196.0,1.1
"p[12, 2]",0.001,0.012,0.0,0.0,0.0,0.0,30.0,146.0,1.1
"p[12, 3]",0.0,0.0,0.0,0.0,0.0,0.0,47.0,102.0,1.1
"p[12, 4]",0.996,0.025,0.992,1.0,0.001,0.0,125.0,879.0,1.04
"p[12, 5]",0.0,0.006,0.0,0.0,0.0,0.0,124.0,174.0,1.04
"p[12, 6]",0.001,0.01,0.0,0.0,0.0,0.0,108.0,265.0,1.04
"p[12, 7]",0.001,0.013,0.0,0.0,0.0,0.0,163.0,478.0,1.03
"p[12, 8]",0.001,0.009,0.0,0.0,0.0,0.0,84.0,202.0,1.04
"p[13, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[13, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[13, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[13, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[13, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[13, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[13, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[13, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[13, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[14, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[14, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[14, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[14, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[14, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[14, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[14, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[14, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[14, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[15, 0]",0.924,0.05,0.831,0.995,0.001,0.001,2662.0,2987.0,1.0
"p[15, 1]",0.002,0.008,0.0,0.006,0.0,0.0,34.0,266.0,1.1
"p[15, 2]",0.001,0.007,0.0,0.003,0.0,0.0,79.0,259.0,1.07
"p[15, 3]",0.033,0.034,0.0,0.095,0.001,0.001,1390.0,1839.0,1.0
"p[15, 4]",0.035,0.034,0.0,0.099,0.001,0.001,1111.0,1099.0,1.0
"p[15, 5]",0.001,0.008,0.0,0.005,0.0,0.0,22.0,152.0,1.12
"p[15, 6]",0.002,0.008,0.0,0.008,0.0,0.0,37.0,104.0,1.11
"p[15, 7]",0.001,0.005,0.0,0.001,0.0,0.0,90.0,205.0,1.04
"p[15, 8]",0.001,0.007,0.0,0.004,0.0,0.0,40.0,145.0,1.08
"p[16, 0]",0.0,0.007,0.0,0.0,0.0,0.0,17.0,214.0,1.18
"p[16, 1]",0.001,0.01,0.0,0.0,0.0,0.0,79.0,354.0,1.04
"p[16, 2]",0.001,0.017,0.0,0.0,0.0,0.0,33.0,425.0,1.08
"p[16, 3]",0.0,0.002,0.0,0.0,0.0,0.0,77.0,207.0,1.04
"p[16, 4]",0.001,0.012,0.0,0.0,0.0,0.0,167.0,342.0,1.02
"p[16, 5]",0.001,0.008,0.0,0.0,0.0,0.0,44.0,281.0,1.07
"p[16, 6]",0.001,0.008,0.0,0.0,0.0,0.0,91.0,166.0,1.05
"p[16, 7]",0.995,0.029,0.988,1.0,0.001,0.0,70.0,1700.0,1.04
"p[16, 8]",0.001,0.01,0.0,0.0,0.0,0.0,34.0,122.0,1.09
"p[17, 0]",0.0,0.0,0.0,0.0,0.0,0.0,8.0,54.0,1.5
"p[17, 1]",0.003,0.036,0.0,0.0,0.001,0.001,29.0,37.0,1.11
"p[17, 2]",0.005,0.043,0.0,0.0,0.001,0.001,19.0,162.0,1.15
"p[17, 3]",0.016,0.082,0.0,0.029,0.003,0.002,62.0,110.0,1.07
"p[17, 4]",0.96,0.133,0.769,1.0,0.004,0.003,170.0,251.0,1.04
"p[17, 5]",0.001,0.022,0.0,0.0,0.0,0.0,43.0,418.0,1.07
"p[17, 6]",0.002,0.034,0.0,0.0,0.001,0.0,102.0,194.0,1.02
"p[17, 7]",0.01,0.069,0.0,0.004,0.002,0.001,168.0,362.0,1.03
"p[17, 8]",0.002,0.036,0.0,0.0,0.001,0.001,27.0,197.0,1.1
"p[18, 0]",0.001,0.007,0.0,0.0,0.0,0.0,17.0,44.0,1.2
"p[18, 1]",0.001,0.009,0.0,0.0,0.0,0.0,104.0,287.0,1.03
"p[18, 2]",0.002,0.014,0.0,0.001,0.0,0.0,56.0,294.0,1.06
"p[18, 3]",0.968,0.062,0.853,1.0,0.002,0.002,226.0,381.0,1.01
"p[18, 4]",0.023,0.052,0.0,0.113,0.002,0.001,174.0,332.0,1.02
"p[18, 5]",0.001,0.012,0.0,0.0,0.0,0.0,148.0,335.0,1.03
"p[18, 6]",0.001,0.011,0.0,0.0,0.0,0.0,55.0,367.0,1.06
"p[18, 7]",0.002,0.013,0.0,0.006,0.0,0.0,74.0,189.0,1.04
"p[18, 8]",0.001,0.013,0.0,0.001,0.0,0.0,29.0,241.0,1.1
"p[19, 0]",0.0,0.01,0.0,0.0,0.0,0.0,12.0,135.0,1.26
"p[19, 1]",0.002,0.034,0.0,0.0,0.001,0.0,82.0,106.0,1.04
"p[19, 2]",0.005,0.054,0.0,0.0,0.001,0.001,40.0,255.0,1.08
"p[19, 3]",0.961,0.137,0.794,1.0,0.003,0.002,499.0,2242.0,1.0
"p[19, 4]",0.015,0.084,0.0,0.02,0.002,0.001,269.0,272.0,1.01
"p[19, 5]",0.003,0.037,0.0,0.0,0.001,0.001,70.0,521.0,1.05
"p[19, 6]",0.002,0.031,0.0,0.0,0.001,0.0,95.0,384.0,1.02
"p[19, 7]",0.008,0.063,0.0,0.001,0.001,0.001,231.0,257.0,1.02
"p[19, 8]",0.002,0.029,0.0,0.0,0.001,0.0,31.0,145.0,1.11
"p[20, 0]",0.0,0.009,0.0,0.0,0.0,0.0,11.0,77.0,1.31
"p[20, 1]",0.0,0.007,0.0,0.0,0.0,0.0,30.0,196.0,1.1
"p[20, 2]",0.001,0.012,0.0,0.0,0.0,0.0,30.0,146.0,1.1
"p[20, 3]",0.0,0.0,0.0,0.0,0.0,0.0,47.0,102.0,1.1
"p[20, 4]",0.996,0.025,0.992,1.0,0.001,0.0,125.0,879.0,1.04
"p[20, 5]",0.0,0.006,0.0,0.0,0.0,0.0,124.0,174.0,1.04
"p[20, 6]",0.001,0.01,0.0,0.0,0.0,0.0,108.0,265.0,1.04
"p[20, 7]",0.001,0.013,0.0,0.0,0.0,0.0,163.0,478.0,1.03
"p[20, 8]",0.001,0.009,0.0,0.0,0.0,0.0,84.0,202.0,1.04
"p[21, 0]",0.001,0.007,0.0,0.0,0.0,0.0,17.0,44.0,1.2
"p[21, 1]",0.001,0.009,0.0,0.0,0.0,0.0,104.0,287.0,1.03
"p[21, 2]",0.002,0.014,0.0,0.001,0.0,0.0,56.0,294.0,1.06
"p[21, 3]",0.968,0.062,0.853,1.0,0.002,0.002,226.0,381.0,1.01
"p[21, 4]",0.023,0.052,0.0,0.113,0.002,0.001,174.0,332.0,1.02
"p[21, 5]",0.001,0.012,0.0,0.0,0.0,0.0,148.0,335.0,1.03
"p[21, 6]",0.001,0.011,0.0,0.0,0.0,0.0,55.0,367.0,1.06
